date,total,filter,remove,ratio
2021-12-26,23,9,0,0.39
2021-12-28,11,2,5,0.18
2021-12-30,21,9,0,0.43
2022-01-02,18,2,0,0.11
2022-01-08,23,3,0,0.13
2022-01-10,19,2,0,0.11
2022-01-12,21,5,0,0.24
2022-01-14,19,5,0,0.26
2022-01-16,19,5,0,0.26
2022-01-18,29,4,0,0.14
2022-01-20,22,5,0,0.23
2022-01-22,21,6,0,0.29
2022-01-24,24,7,0,0.29
2022-01-26,21,5,3,0.24
2022-01-28,19,1,0,0.05
2022-01-30,19,4,0,0.21
2022-02-02,19,4,5,0.21
2022-02-04,27,11,0,0.41
2022-02-06,25,9,1,0.36
2022-02-08,21,5,0,0.24
2022-02-10,35,9,0,0.26
2022-02-12,29,11,0,0.38
2022-02-14,16,6,2,0.38
2022-02-16,27,7,0,0.26
2022-02-18,25,4,0,0.16
2022-02-20,29,7,0,0.24
2022-02-22,20,4,0,0.2
2022-02-26,17,2,0,0.12
2022-02-28,31,7,0,0.23
2022-03-02,21,5,2,0.24
2022-03-04,15,4,2,0.27
2022-03-06,18,6,0,0.33
2022-03-08,22,6,0,0.27
2022-03-10,31,4,0,0.13
2022-03-12,27,8,0,0.3
2022-03-14,31,5,4,0.16
2022-03-16,19,8,1,0.42
2022-03-18,24,8,0,0.33
2022-03-20,25,8,0,0.32
2022-03-22,18,3,0,0.17
2022-03-24,18,6,0,0.33
2022-03-26,22,5,0,0.23
2022-03-28,23,6,0,0.26
2022-03-30,20,4,0,0.2
2022-04-02,23,3,0,0.13
2022-04-04,47,20,1,0.43
2022-04-06,33,6,0,0.18
2022-04-08,45,7,0,0.16
2022-04-10,37,7,0,0.19
2022-04-12,40,12,0,0.3
2022-04-14,31,9,1,0.29
2022-04-16,29,5,0,0.17
2022-04-18,50,16,0,0.32
2022-04-20,31,9,0,0.29
2022-04-22,54,16,0,0.3
2022-04-24,37,8,0,0.22
2022-04-26,60,26,2,0.43
2022-04-28,39,8,0,0.21
2022-04-30,33,13,3,0.39
2022-05-02,34,4,0,0.12
2022-05-04,49,12,0,0.24
2022-05-06,38,14,0,0.37
2022-05-08,40,11,0,0.28
2022-05-10,31,5,0,0.16
2022-05-12,46,12,0,0.26
2022-05-14,33,10,0,0.3
2022-05-16,30,7,0,0.23
2022-05-18,58,16,0,0.28
2022-05-20,33,5,0,0.15
2022-05-22,40,5,0,0.12
2022-05-24,31,9,0,0.29
2022-05-26,37,16,0,0.43
2022-06-02,39,8,0,0.21
2022-06-04,35,8,0,0.23
2022-06-06,39,13,0,0.33
2022-06-08,36,14,0,0.39
2022-06-10,47,16,0,0.34
2022-06-12,46,4,0,0.09
2022-06-14,47,5,0,0.11
2022-06-16,42,7,0,0.17
2022-06-18,34,4,0,0.12
2022-06-20,27,10,1,0.37
2022-06-22,50,8,0,0.16
2022-06-24,43,9,0,0.21
2022-06-26,41,6,0,0.15
2022-06-28,48,10,0,0.21
2022-06-30,32,12,2,0.38
2022-07-02,36,8,0,0.22
2022-07-04,34,11,0,0.32
2022-07-06,41,15,0,0.37
2022-07-08,40,15,0,0.38
2022-07-10,36,5,0,0.14
2022-07-12,33,11,0,0.33
2022-07-14,30,7,0,0.23
2022-07-16,36,5,0,0.14
2022-07-18,36,14,0,0.39
2022-07-20,42,14,0,0.33
2022-07-22,52,20,0,0.38
2022-07-24,59,19,0,0.32
2022-07-26,41,5,0,0.12
2022-07-28,31,7,0,0.23
2022-07-30,45,7,0,0.16
2022-08-02,43,13,0,0.3
2022-08-04,48,18,0,0.38
2022-08-06,37,2,0,0.05
2022-08-08,48,10,0,0.21
2022-08-10,31,7,0,0.23
2022-08-12,36,10,0,0.28
2022-08-14,36,11,2,0.31
2022-08-16,34,5,0,0.15
2022-08-18,59,5,0,0.08
2022-08-20,40,4,0,0.1
2022-08-22,36,7,0,0.19
2022-08-24,47,10,0,0.21
2022-08-26,44,12,2,0.27
2022-08-28,46,13,0,0.28
2022-08-30,45,10,0,0.22
2022-09-02,57,18,0,0.32
2022-09-04,38,9,0,0.24
2022-09-06,38,14,0,0.37
2022-09-08,40,11,0,0.28
2022-09-10,49,13,0,0.27
2022-09-12,31,4,0,0.13
2022-09-14,34,9,0,0.26
2022-09-16,35,12,0,0.34
2022-09-18,45,10,0,0.22
2022-09-20,41,4,0,0.1
2022-09-22,38,3,0,0.08
2022-09-24,35,9,0,0.26
2022-09-26,38,8,0,0.21
2022-09-28,33,11,0,0.33
2022-09-30,45,14,0,0.31
2022-10-02,44,19,1,0.43
2022-10-04,41,5,0,0.12
2022-10-06,50,20,0,0.4
2022-10-08,36,13,0,0.36
2022-10-10,33,4,0,0.12
