date,total,filter,remove,ratio
2021-12-26,23,8,0,0.35
2021-12-28,16,4,0,0.25
2021-12-30,21,3,0,0.14
2022-01-02,15,3,3,0.2
2022-01-08,23,10,0,0.43
2022-01-10,19,5,0,0.26
2022-01-12,21,5,0,0.24
2022-01-14,19,5,0,0.26
2022-01-16,19,5,0,0.26
2022-01-18,29,8,0,0.28
2022-01-20,22,8,0,0.36
2022-01-22,21,6,0,0.29
2022-01-24,24,5,0,0.21
2022-01-26,24,4,0,0.17
2022-01-28,14,5,5,0.36
2022-01-30,18,6,1,0.33
2022-02-02,24,4,0,0.17
2022-02-04,27,7,0,0.26
2022-02-06,25,4,1,0.16
2022-02-08,21,7,0,0.33
2022-02-10,35,10,0,0.29
2022-02-12,29,8,0,0.28
2022-02-14,16,6,2,0.38
2022-02-16,26,7,1,0.27
2022-02-18,25,8,0,0.32
2022-02-20,29,7,0,0.24
2022-02-22,20,7,0,0.35
2022-02-26,17,5,0,0.29
2022-02-28,31,10,0,0.32
2022-03-02,23,4,0,0.17
2022-03-04,17,5,0,0.29
2022-03-06,18,6,0,0.33
2022-03-08,22,10,0,0.45
2022-03-10,31,7,0,0.23
2022-03-12,27,7,0,0.26
2022-03-14,35,11,0,0.31
2022-03-16,20,7,0,0.35
2022-03-18,24,8,0,0.33
2022-03-20,25,7,0,0.28
2022-03-22,18,6,0,0.33
2022-03-24,18,3,0,0.17
2022-03-26,22,7,0,0.32
2022-03-28,23,5,0,0.22
2022-03-30,20,3,0,0.15
2022-04-02,23,9,0,0.39
2022-04-04,48,12,0,0.25
2022-04-06,33,8,0,0.24
2022-04-08,45,21,0,0.47
2022-04-10,37,7,0,0.19
2022-04-12,40,12,0,0.3
2022-04-14,32,10,0,0.31
2022-04-16,27,8,2,0.3
2022-04-18,50,14,0,0.28
2022-04-20,31,10,0,0.32
2022-04-22,54,25,0,0.46
2022-04-24,37,7,0,0.19
2022-04-26,62,17,0,0.27
2022-04-28,36,7,3,0.19
2022-04-30,36,8,0,0.22
2022-05-02,34,9,0,0.26
2022-05-04,49,12,0,0.24
2022-05-06,38,6,0,0.16
2022-05-08,40,15,0,0.38
2022-05-10,29,6,2,0.21
2022-05-12,46,10,0,0.22
2022-05-14,31,12,2,0.39
2022-05-16,30,9,0,0.3
2022-05-18,58,11,0,0.19
2022-05-20,33,11,0,0.33
2022-05-22,40,18,0,0.45
2022-05-24,31,5,0,0.16
2022-05-26,37,11,0,0.3
2022-06-02,39,11,0,0.28
2022-06-04,35,16,0,0.46
2022-06-06,39,7,0,0.18
2022-06-08,33,6,3,0.18
2022-06-10,46,20,1,0.43
2022-06-12,46,13,0,0.28
2022-06-14,47,19,0,0.4
2022-06-16,42,18,0,0.43
2022-06-18,34,11,0,0.32
2022-06-20,28,5,0,0.18
2022-06-22,49,19,1,0.39
2022-06-24,43,6,0,0.14
2022-06-26,41,7,0,0.17
2022-06-28,48,7,0,0.15
2022-06-30,34,6,0,0.18
2022-07-02,36,17,0,0.47
2022-07-04,34,14,0,0.41
2022-07-06,41,14,0,0.34
2022-07-08,40,7,0,0.18
2022-07-10,36,7,0,0.19
2022-07-12,31,10,2,0.32
2022-07-14,30,8,0,0.27
2022-07-16,36,7,0,0.19
2022-07-18,36,14,0,0.39
2022-07-20,37,8,5,0.22
2022-07-22,52,15,0,0.29
2022-07-24,59,19,0,0.32
2022-07-26,41,17,0,0.41
2022-07-28,31,14,0,0.45
2022-07-30,45,5,0,0.11
2022-08-02,43,10,0,0.23
2022-08-04,48,9,0,0.19
2022-08-06,37,8,0,0.22
2022-08-08,48,16,0,0.33
2022-08-10,31,10,0,0.32
2022-08-12,34,8,2,0.24
2022-08-14,38,14,0,0.37
2022-08-16,34,6,0,0.18
2022-08-18,59,23,0,0.39
2022-08-20,40,10,0,0.25
2022-08-22,36,5,0,0.14
2022-08-24,47,9,0,0.19
2022-08-26,45,9,1,0.2
2022-08-28,46,13,0,0.28
2022-08-30,43,15,2,0.35
2022-09-02,57,13,0,0.23
2022-09-04,38,5,0,0.13
2022-09-06,38,15,0,0.39
2022-09-08,40,15,0,0.38
2022-09-10,49,9,0,0.18
2022-09-12,31,5,0,0.16
2022-09-14,34,6,0,0.18
2022-09-16,34,7,1,0.21
2022-09-18,45,18,0,0.4
2022-09-20,41,14,0,0.34
2022-09-22,37,4,1,0.11
2022-09-24,35,6,0,0.17
2022-09-26,38,13,0,0.34
2022-09-28,33,8,0,0.24
2022-09-30,45,11,0,0.24
2022-10-02,45,15,0,0.33
2022-10-04,41,17,0,0.41
2022-10-06,50,6,0,0.12
2022-10-08,36,13,0,0.36
2022-10-10,33,8,0,0.24
