date,total,filter,remove,ratio
2021-12-26,23,12,0,0.52
2021-12-28,15,8,1,0.53
2021-12-30,21,12,0,0.57
2022-01-02,16,9,2,0.56
2022-01-08,23,6,0,0.26
2022-01-10,19,6,0,0.32
2022-01-12,18,10,3,0.56
2022-01-14,19,9,0,0.47
2022-01-16,18,6,1,0.33
2022-01-18,29,7,0,0.24
2022-01-20,22,16,0,0.73
2022-01-22,21,9,0,0.43
2022-01-24,24,14,0,0.58
2022-01-26,24,6,0,0.25
2022-01-28,19,6,0,0.32
2022-01-30,19,6,0,0.32
2022-02-02,24,11,0,0.46
2022-02-04,27,7,0,0.26
2022-02-06,26,6,0,0.23
2022-02-08,21,6,0,0.29
2022-02-10,35,20,0,0.57
2022-02-12,29,16,0,0.55
2022-02-14,18,11,0,0.61
2022-02-16,27,14,0,0.52
2022-02-18,20,9,5,0.45
2022-02-20,29,10,0,0.34
2022-02-22,20,7,0,0.35
2022-02-26,15,7,2,0.47
2022-02-28,31,12,0,0.39
2022-03-02,23,8,0,0.35
2022-03-04,17,9,0,0.53
2022-03-06,18,10,0,0.56
2022-03-08,22,9,0,0.41
2022-03-10,30,13,1,0.43
2022-03-12,26,6,1,0.23
2022-03-14,35,12,0,0.34
2022-03-16,16,10,4,0.62
2022-03-18,24,12,0,0.5
2022-03-20,25,13,0,0.52
2022-03-22,18,7,0,0.39
2022-03-24,18,8,0,0.44
2022-03-26,22,8,0,0.36
2022-03-28,23,4,0,0.17
2022-03-30,20,9,0,0.45
2022-04-02,23,10,0,0.43
2022-04-04,48,16,0,0.33
2022-04-06,33,20,0,0.61
2022-04-08,45,13,0,0.29
2022-04-10,37,14,0,0.38
2022-04-12,40,27,0,0.68
2022-04-14,32,19,0,0.59
2022-04-16,29,16,0,0.55
2022-04-18,50,21,0,0.42
2022-04-20,31,17,0,0.55
2022-04-22,54,26,0,0.48
2022-04-24,37,16,0,0.43
2022-04-26,59,17,3,0.29
2022-04-28,39,17,0,0.44
2022-04-30,36,19,0,0.53
2022-05-02,34,18,0,0.53
2022-05-04,49,18,0,0.37
2022-05-06,38,22,0,0.58
2022-05-08,40,15,0,0.38
2022-05-10,31,22,0,0.71
2022-05-12,46,11,0,0.24
2022-05-14,31,9,2,0.29
2022-05-16,30,13,0,0.43
2022-05-18,58,20,0,0.34
2022-05-20,33,11,0,0.33
2022-05-22,40,19,0,0.48
2022-05-24,31,18,0,0.58
2022-05-26,37,9,0,0.24
2022-06-02,39,15,0,0.38
2022-06-04,35,14,0,0.4
2022-06-06,39,25,0,0.64
2022-06-08,36,11,0,0.31
2022-06-10,47,19,0,0.4
2022-06-12,43,20,3,0.47
2022-06-14,47,33,0,0.7
2022-06-16,42,25,0,0.6
2022-06-18,32,22,2,0.69
2022-06-20,28,9,0,0.32
2022-06-22,50,12,0,0.24
2022-06-24,42,26,1,0.62
2022-06-26,41,21,0,0.51
2022-06-28,48,27,0,0.56
2022-06-30,34,11,0,0.32
2022-07-02,36,20,0,0.56
2022-07-04,34,11,0,0.32
2022-07-06,41,12,0,0.29
2022-07-08,36,21,4,0.58
2022-07-10,36,19,0,0.53
2022-07-12,27,11,6,0.41
2022-07-14,30,25,0,0.83
2022-07-16,36,7,0,0.19
2022-07-18,36,16,0,0.44
2022-07-20,42,29,0,0.69
2022-07-22,52,15,0,0.29
2022-07-24,59,30,0,0.51
2022-07-26,41,9,0,0.22
2022-07-28,28,23,3,0.82
2022-07-30,45,14,0,0.31
2022-08-02,43,20,0,0.47
2022-08-04,48,16,0,0.33
2022-08-06,37,11,0,0.3
2022-08-08,46,12,2,0.26
2022-08-10,31,8,0,0.26
2022-08-12,36,19,0,0.53
2022-08-14,38,22,0,0.58
2022-08-16,34,12,0,0.35
2022-08-18,54,25,5,0.46
2022-08-20,40,23,0,0.57
2022-08-22,36,10,0,0.28
2022-08-24,47,19,0,0.4
2022-08-26,46,16,0,0.35
2022-08-28,46,24,0,0.52
2022-08-30,45,26,0,0.58
2022-09-02,57,12,0,0.21
2022-09-04,38,22,0,0.58
2022-09-06,38,17,0,0.45
2022-09-08,40,10,0,0.25
2022-09-10,49,20,0,0.41
2022-09-12,31,8,0,0.26
2022-09-14,34,9,0,0.26
2022-09-16,35,25,0,0.71
2022-09-18,45,15,0,0.33
2022-09-20,41,14,0,0.34
2022-09-22,38,16,0,0.42
2022-09-24,35,12,0,0.34
2022-09-26,36,16,2,0.44
2022-09-28,27,16,6,0.59
2022-09-30,45,21,0,0.47
2022-10-02,45,39,0,0.87
2022-10-04,41,16,0,0.39
2022-10-06,50,17,0,0.34
2022-10-08,36,27,0,0.75
2022-10-10,33,19,0,0.58
