date,total,filter,remove,ratio
2021-12-26,23,0,0,0.0
2021-12-28,16,1,0,0.06
2021-12-30,20,1,1,0.05
2022-01-02,18,1,0,0.06
2022-01-08,23,1,0,0.04
2022-01-10,18,5,1,0.28
2022-01-12,17,3,4,0.18
2022-01-14,19,1,0,0.05
2022-01-16,19,0,0,0.0
2022-01-18,29,13,0,0.45
2022-01-20,22,0,0,0.0
2022-01-22,21,0,0,0.0
2022-01-24,24,0,0,0.0
2022-01-26,24,0,0,0.0
2022-01-28,19,0,0,0.0
2022-01-30,19,0,0,0.0
2022-02-02,24,1,0,0.04
2022-02-04,27,1,0,0.04
2022-02-06,24,4,2,0.17
2022-02-08,21,1,0,0.05
2022-02-10,35,1,0,0.03
2022-02-12,29,0,0,0.0
2022-02-14,18,0,0,0.0
2022-02-16,26,2,1,0.08
2022-02-18,25,0,0,0.0
2022-02-20,29,0,0,0.0
2022-02-22,20,1,0,0.05
2022-02-26,17,1,0,0.06
2022-02-28,31,4,0,0.13
2022-03-02,23,0,0,0.0
2022-03-04,17,1,0,0.06
2022-03-06,16,2,2,0.12
2022-03-08,22,2,0,0.09
2022-03-10,30,3,1,0.1
2022-03-12,27,1,0,0.04
2022-03-14,35,3,0,0.09
2022-03-16,20,1,0,0.05
2022-03-18,24,2,0,0.08
2022-03-20,24,1,1,0.04
2022-03-22,18,1,0,0.06
2022-03-24,18,1,0,0.06
2022-03-26,22,0,0,0.0
2022-03-28,23,2,0,0.09
2022-03-30,20,3,0,0.15
2022-04-02,23,2,0,0.09
2022-04-04,48,3,0,0.06
2022-04-06,33,3,0,0.09
2022-04-08,45,3,0,0.07
2022-04-10,37,0,0,0.0
2022-04-12,37,2,3,0.05
2022-04-14,32,3,0,0.09
2022-04-16,29,0,0,0.0
2022-04-18,50,2,0,0.04
2022-04-20,31,1,0,0.03
2022-04-22,54,3,0,0.06
2022-04-24,37,12,0,0.32
2022-04-26,60,5,2,0.08
2022-04-28,39,4,0,0.1
2022-04-30,33,2,3,0.06
2022-05-02,34,3,0,0.09
2022-05-04,49,4,0,0.08
2022-05-06,38,12,0,0.32
2022-05-08,40,0,0,0.0
2022-05-10,31,3,0,0.1
2022-05-12,46,2,0,0.04
2022-05-14,31,3,2,0.1
2022-05-16,30,4,0,0.13
2022-05-18,58,0,0,0.0
2022-05-20,33,9,0,0.27
2022-05-22,39,2,1,0.05
2022-05-24,31,2,0,0.06
2022-05-26,37,4,0,0.11
2022-06-02,39,4,0,0.1
2022-06-04,29,1,6,0.03
2022-06-06,35,3,4,0.09
2022-06-08,36,3,0,0.08
2022-06-10,47,6,0,0.13
2022-06-12,44,1,2,0.02
2022-06-14,47,4,0,0.09
2022-06-16,42,2,0,0.05
2022-06-18,34,3,0,0.09
2022-06-20,28,0,0,0.0
2022-06-22,50,0,0,0.0
2022-06-24,43,0,0,0.0
2022-06-26,40,5,1,0.12
2022-06-28,48,0,0,0.0
2022-06-30,31,0,3,0.0
2022-07-02,36,2,0,0.06
2022-07-04,34,0,0,0.0
2022-07-06,41,3,0,0.07
2022-07-08,40,2,0,0.05
2022-07-10,36,3,0,0.08
2022-07-12,33,3,0,0.09
2022-07-14,30,3,0,0.1
2022-07-16,34,1,2,0.03
2022-07-18,36,0,0,0.0
2022-07-20,41,3,1,0.07
2022-07-22,52,5,0,0.1
2022-07-24,59,0,0,0.0
2022-07-26,41,1,0,0.02
2022-07-28,28,2,3,0.07
2022-07-30,45,6,0,0.13
2022-08-02,41,4,2,0.1
2022-08-04,48,4,0,0.08
2022-08-06,37,4,0,0.11
2022-08-08,48,3,0,0.06
2022-08-10,31,1,0,0.03
2022-08-12,35,5,1,0.14
2022-08-14,38,2,0,0.05
2022-08-16,34,13,0,0.38
2022-08-18,59,6,0,0.1
2022-08-20,39,2,1,0.05
2022-08-22,36,2,0,0.06
2022-08-24,47,2,0,0.04
2022-08-26,46,1,0,0.02
2022-08-28,46,2,0,0.04
2022-08-30,45,3,0,0.07
2022-09-02,57,3,0,0.05
2022-09-04,38,4,0,0.11
2022-09-06,38,0,0,0.0
2022-09-08,40,4,0,0.1
2022-09-10,49,0,0,0.0
2022-09-12,31,1,0,0.03
2022-09-14,31,2,3,0.06
2022-09-16,35,4,0,0.11
2022-09-18,45,0,0,0.0
2022-09-20,41,5,0,0.12
2022-09-22,38,1,0,0.03
2022-09-24,35,13,0,0.37
2022-09-26,38,3,0,0.08
2022-09-28,33,0,0,0.0
2022-09-30,45,4,0,0.09
2022-10-02,45,4,0,0.09
2022-10-04,41,0,0,0.0
2022-10-06,50,6,0,0.12
2022-10-08,36,4,0,0.11
2022-10-10,33,1,0,0.03
