date,total,filter,remove,ratio
2021-12-26,23,2,0,0.09
2021-12-28,16,2,0,0.12
2021-12-30,21,4,0,0.19
2022-01-02,18,2,0,0.11
2022-01-08,23,8,0,0.35
2022-01-10,19,3,0,0.16
2022-01-12,21,3,0,0.14
2022-01-14,19,8,0,0.42
2022-01-16,19,3,0,0.16
2022-01-18,29,4,0,0.14
2022-01-20,22,3,0,0.14
2022-01-22,16,3,5,0.19
2022-01-24,24,5,0,0.21
2022-01-26,24,3,0,0.12
2022-01-28,19,6,0,0.32
2022-01-30,19,3,0,0.16
2022-02-02,23,4,1,0.17
2022-02-04,27,3,0,0.11
2022-02-06,24,5,2,0.21
2022-02-08,21,4,0,0.19
2022-02-10,33,3,2,0.09
2022-02-12,29,2,0,0.07
2022-02-14,15,3,3,0.2
2022-02-16,27,7,0,0.26
2022-02-18,25,5,0,0.2
2022-02-20,29,4,0,0.14
2022-02-22,20,3,0,0.15
2022-02-26,17,3,0,0.18
2022-02-28,30,7,1,0.23
2022-03-02,23,8,0,0.35
2022-03-04,17,2,0,0.12
2022-03-06,16,3,2,0.19
2022-03-08,22,5,0,0.23
2022-03-10,28,4,3,0.14
2022-03-12,27,4,0,0.15
2022-03-14,35,6,0,0.17
2022-03-16,20,5,0,0.25
2022-03-18,24,4,0,0.17
2022-03-20,25,3,0,0.12
2022-03-22,18,2,0,0.11
2022-03-24,18,4,0,0.22
2022-03-26,22,3,0,0.14
2022-03-28,23,5,0,0.22
2022-03-30,15,3,5,0.2
2022-04-02,23,6,0,0.26
2022-04-04,48,6,0,0.12
2022-04-06,33,4,0,0.12
2022-04-08,45,9,0,0.2
2022-04-10,37,7,0,0.19
2022-04-12,40,7,0,0.18
2022-04-14,32,5,0,0.16
2022-04-16,29,5,0,0.17
2022-04-18,50,8,0,0.16
2022-04-20,31,6,0,0.19
2022-04-22,48,9,6,0.19
2022-04-24,37,8,0,0.22
2022-04-26,62,4,0,0.06
2022-04-28,39,5,0,0.13
2022-04-30,36,3,0,0.08
2022-05-02,34,8,0,0.24
2022-05-04,49,9,0,0.18
2022-05-06,38,5,0,0.13
2022-05-08,40,5,0,0.12
2022-05-10,31,4,0,0.13
2022-05-12,46,4,0,0.09
2022-05-14,33,8,0,0.24
2022-05-16,30,5,0,0.17
2022-05-18,58,13,0,0.22
2022-05-20,33,6,0,0.18
2022-05-22,40,10,0,0.25
2022-05-24,25,4,6,0.16
2022-05-26,37,5,0,0.14
2022-06-02,37,4,2,0.11
2022-06-04,33,5,2,0.15
2022-06-06,39,10,0,0.26
2022-06-08,32,3,4,0.09
2022-06-10,47,8,0,0.17
2022-06-12,42,8,4,0.19
2022-06-14,47,8,0,0.17
2022-06-16,39,9,3,0.23
2022-06-18,34,6,0,0.18
2022-06-20,28,5,0,0.18
2022-06-22,50,6,0,0.12
2022-06-24,43,6,0,0.14
2022-06-26,41,4,0,0.1
2022-06-28,48,9,0,0.19
2022-06-30,34,6,0,0.18
2022-07-02,36,5,0,0.14
2022-07-04,31,4,3,0.13
2022-07-06,41,5,0,0.12
2022-07-08,40,7,0,0.18
2022-07-10,36,5,0,0.14
2022-07-12,33,6,0,0.18
2022-07-14,26,4,4,0.15
2022-07-16,36,4,0,0.11
2022-07-18,36,9,0,0.25
2022-07-20,42,5,0,0.12
2022-07-22,48,13,4,0.27
2022-07-24,59,5,0,0.08
2022-07-26,41,7,0,0.17
2022-07-28,30,7,1,0.23
2022-07-30,45,7,0,0.16
2022-08-02,37,6,6,0.16
2022-08-04,48,14,0,0.29
2022-08-06,37,7,0,0.19
2022-08-08,48,9,0,0.19
2022-08-10,31,7,0,0.23
2022-08-12,36,4,0,0.11
2022-08-14,38,6,0,0.16
2022-08-16,34,5,0,0.15
2022-08-18,55,8,4,0.15
2022-08-20,40,2,0,0.05
2022-08-22,36,5,0,0.14
2022-08-24,47,4,0,0.09
2022-08-26,46,9,0,0.2
2022-08-28,46,5,0,0.11
2022-08-30,45,8,0,0.18
2022-09-02,55,9,2,0.16
2022-09-04,38,10,0,0.26
2022-09-06,38,4,0,0.11
2022-09-08,40,10,0,0.25
2022-09-10,49,6,0,0.12
2022-09-12,29,3,2,0.1
2022-09-14,34,5,0,0.15
2022-09-16,35,10,0,0.29
2022-09-18,45,5,0,0.11
2022-09-20,41,7,0,0.17
2022-09-22,38,9,0,0.24
2022-09-24,35,8,0,0.23
2022-09-26,38,9,0,0.24
2022-09-28,33,4,0,0.12
2022-09-30,45,9,0,0.2
2022-10-02,45,8,0,0.18
2022-10-04,41,8,0,0.2
2022-10-06,50,11,0,0.22
2022-10-08,36,3,0,0.08
2022-10-10,33,5,0,0.15
