date,total,filter,remove,ratio
2021-12-26,23,17,0,0.74
2021-12-28,16,8,0,0.5
2021-12-30,20,10,1,0.5
2022-01-02,18,16,0,0.89
2022-01-08,23,15,0,0.65
2022-01-10,15,7,4,0.47
2022-01-12,21,15,0,0.71
2022-01-14,14,10,5,0.71
2022-01-16,19,13,0,0.68
2022-01-18,29,19,0,0.66
2022-01-20,22,17,0,0.77
2022-01-22,21,17,0,0.81
2022-01-24,18,10,6,0.56
2022-01-26,24,20,0,0.83
2022-01-28,19,12,0,0.63
2022-01-30,15,12,4,0.8
2022-02-02,24,21,0,0.88
2022-02-04,27,13,0,0.48
2022-02-06,26,14,0,0.54
2022-02-08,21,13,0,0.62
2022-02-10,35,29,0,0.83
2022-02-12,27,17,2,0.63
2022-02-14,17,12,1,0.71
2022-02-16,27,24,0,0.89
2022-02-18,25,13,0,0.52
2022-02-20,29,17,0,0.59
2022-02-22,20,17,0,0.85
2022-02-26,17,12,0,0.71
2022-02-28,31,15,0,0.48
2022-03-02,23,12,0,0.52
2022-03-04,17,12,0,0.71
2022-03-06,18,15,0,0.83
2022-03-08,22,19,0,0.86
2022-03-10,28,19,3,0.68
2022-03-12,27,13,0,0.48
2022-03-14,35,23,0,0.66
2022-03-16,20,13,0,0.65
2022-03-18,24,16,0,0.67
2022-03-20,25,21,0,0.84
2022-03-22,18,9,0,0.5
2022-03-24,18,11,0,0.61
2022-03-26,22,15,0,0.68
2022-03-28,23,12,0,0.52
2022-03-30,20,17,0,0.85
2022-04-02,23,14,0,0.61
2022-04-04,48,40,0,0.83
2022-04-06,33,25,0,0.76
2022-04-08,45,34,0,0.76
2022-04-10,36,22,1,0.61
2022-04-12,40,17,0,0.42
2022-04-14,32,23,0,0.72
2022-04-16,29,21,0,0.72
2022-04-18,50,34,0,0.68
2022-04-20,31,27,0,0.87
2022-04-22,54,37,0,0.69
2022-04-24,37,19,0,0.51
2022-04-26,59,40,3,0.68
2022-04-28,39,20,0,0.51
2022-04-30,36,22,0,0.61
2022-05-02,34,26,0,0.76
2022-05-04,49,42,0,0.86
2022-05-06,38,29,0,0.76
2022-05-08,39,31,1,0.79
2022-05-10,31,26,0,0.84
2022-05-12,46,29,0,0.63
2022-05-14,33,27,0,0.82
2022-05-16,30,20,0,0.67
2022-05-18,58,39,0,0.67
2022-05-20,32,21,1,0.66
2022-05-22,37,30,3,0.81
2022-05-24,31,22,0,0.71
2022-05-26,37,31,0,0.84
2022-06-02,39,20,0,0.51
2022-06-04,35,26,0,0.74
2022-06-06,39,30,0,0.77
2022-06-08,36,24,0,0.67
2022-06-10,47,40,0,0.85
2022-06-12,46,33,0,0.72
2022-06-14,44,36,3,0.82
2022-06-16,42,30,0,0.71
2022-06-18,34,22,0,0.65
2022-06-20,28,14,0,0.5
2022-06-22,50,29,0,0.58
2022-06-24,43,16,0,0.37
2022-06-26,41,28,0,0.68
2022-06-28,48,33,0,0.69
2022-06-30,34,19,0,0.56
2022-07-02,35,23,1,0.66
2022-07-04,34,28,0,0.82
2022-07-06,40,21,1,0.52
2022-07-08,40,36,0,0.9
2022-07-10,36,20,0,0.56
2022-07-12,33,26,0,0.79
2022-07-14,29,26,1,0.9
2022-07-16,32,16,4,0.5
2022-07-18,36,19,0,0.53
2022-07-20,42,31,0,0.74
2022-07-22,50,25,2,0.5
2022-07-24,59,40,0,0.68
2022-07-26,41,33,0,0.8
2022-07-28,31,15,0,0.48
2022-07-30,45,25,0,0.56
2022-08-02,39,22,4,0.56
2022-08-04,48,25,0,0.52
2022-08-06,37,21,0,0.57
2022-08-08,48,24,0,0.5
2022-08-10,31,23,0,0.74
2022-08-12,36,19,0,0.53
2022-08-14,38,23,0,0.61
2022-08-16,34,28,0,0.82
2022-08-18,59,29,0,0.49
2022-08-20,40,32,0,0.8
2022-08-22,36,28,0,0.78
2022-08-24,47,26,0,0.55
2022-08-26,46,22,0,0.48
2022-08-28,46,32,0,0.7
2022-08-30,45,37,0,0.82
2022-09-02,57,48,0,0.84
2022-09-04,38,33,0,0.87
2022-09-06,38,29,0,0.76
2022-09-08,40,23,0,0.57
2022-09-10,49,35,0,0.71
2022-09-12,31,24,0,0.77
2022-09-14,34,30,0,0.88
2022-09-16,35,22,0,0.63
2022-09-18,45,35,0,0.78
2022-09-20,40,27,1,0.68
2022-09-22,38,22,0,0.58
2022-09-24,35,22,0,0.63
2022-09-26,38,32,0,0.84
2022-09-28,33,27,0,0.82
2022-09-30,45,33,0,0.73
2022-10-02,45,34,0,0.76
2022-10-04,41,34,0,0.83
2022-10-06,50,43,0,0.86
2022-10-08,34,30,2,0.88
2022-10-10,33,24,0,0.73
