date,total,filter,remove,ratio
2021-12-26,23,8,0,0.35
2021-12-28,16,0,0,0.0
2021-12-30,21,7,0,0.33
2022-01-02,18,4,0,0.22
2022-01-08,22,4,1,0.18
2022-01-10,19,9,0,0.47
2022-01-12,21,3,0,0.14
2022-01-14,19,8,0,0.42
2022-01-16,19,3,0,0.16
2022-01-18,29,2,0,0.07
2022-01-20,22,8,0,0.36
2022-01-22,21,6,0,0.29
2022-01-24,24,6,0,0.25
2022-01-26,23,11,1,0.48
2022-01-28,17,3,2,0.18
2022-01-30,19,5,0,0.26
2022-02-02,19,7,5,0.37
2022-02-04,27,8,0,0.3
2022-02-06,26,10,0,0.38
2022-02-08,21,7,0,0.33
2022-02-10,35,4,0,0.11
2022-02-12,29,11,0,0.38
2022-02-14,16,6,2,0.38
2022-02-16,27,8,0,0.3
2022-02-18,25,4,0,0.16
2022-02-20,29,5,0,0.17
2022-02-22,20,4,0,0.2
2022-02-26,17,6,0,0.35
2022-02-28,31,6,0,0.19
2022-03-02,18,3,5,0.17
2022-03-04,17,2,0,0.12
2022-03-06,18,3,0,0.17
2022-03-08,22,8,0,0.36
2022-03-10,28,12,3,0.43
2022-03-12,27,6,0,0.22
2022-03-14,35,17,0,0.49
2022-03-16,18,8,2,0.44
2022-03-18,24,1,0,0.04
2022-03-20,23,11,2,0.48
2022-03-22,16,2,2,0.12
2022-03-24,17,5,1,0.29
2022-03-26,21,6,1,0.29
2022-03-28,23,9,0,0.39
2022-03-30,20,8,0,0.4
2022-04-02,23,9,0,0.39
2022-04-04,43,4,5,0.09
2022-04-06,33,11,0,0.33
2022-04-08,45,16,0,0.36
2022-04-10,37,8,0,0.22
2022-04-12,37,13,3,0.35
2022-04-14,32,10,0,0.31
2022-04-16,27,4,2,0.15
2022-04-18,50,32,0,0.64
2022-04-20,29,10,2,0.34
2022-04-22,54,16,0,0.3
2022-04-24,37,7,0,0.19
2022-04-26,62,8,0,0.13
2022-04-28,39,21,0,0.54
2022-04-30,36,9,0,0.25
2022-05-02,34,14,0,0.41
2022-05-04,49,20,0,0.41
2022-05-06,34,14,4,0.41
2022-05-08,40,7,0,0.18
2022-05-10,31,4,0,0.13
2022-05-12,44,26,2,0.59
2022-05-14,33,11,0,0.33
2022-05-16,30,4,0,0.13
2022-05-18,58,19,0,0.33
2022-05-20,31,13,2,0.42
2022-05-22,40,9,0,0.22
2022-05-24,31,23,0,0.74
2022-05-26,37,3,0,0.08
2022-06-02,39,13,0,0.33
2022-06-04,35,11,0,0.31
2022-06-06,39,7,0,0.18
2022-06-08,36,27,0,0.75
2022-06-10,47,12,0,0.26
2022-06-12,45,15,1,0.33
2022-06-14,47,8,0,0.17
2022-06-16,42,11,0,0.26
2022-06-18,34,8,0,0.24
2022-06-20,28,11,0,0.39
2022-06-22,50,13,0,0.26
2022-06-24,43,9,0,0.21
2022-06-26,41,14,0,0.34
2022-06-28,48,21,0,0.44
2022-06-30,34,17,0,0.5
2022-07-02,36,8,0,0.22
2022-07-04,34,15,0,0.44
2022-07-06,41,11,0,0.27
2022-07-08,40,21,0,0.52
2022-07-10,36,10,0,0.28
2022-07-12,33,16,0,0.48
2022-07-14,28,11,2,0.39
2022-07-16,36,9,0,0.25
2022-07-18,36,12,0,0.33
2022-07-20,42,16,0,0.38
2022-07-22,52,41,0,0.79
2022-07-24,59,23,0,0.39
2022-07-26,41,13,0,0.32
2022-07-28,31,7,0,0.23
2022-07-30,42,30,3,0.71
2022-08-02,43,4,0,0.09
2022-08-04,48,20,0,0.42
2022-08-06,37,5,0,0.14
2022-08-08,48,17,0,0.35
2022-08-10,29,6,2,0.21
2022-08-12,36,7,0,0.19
2022-08-14,38,13,0,0.34
2022-08-16,34,15,0,0.44
2022-08-18,59,18,0,0.31
2022-08-20,40,16,0,0.4
2022-08-22,36,13,0,0.36
2022-08-24,46,20,1,0.43
2022-08-26,46,21,0,0.46
2022-08-28,46,15,0,0.33
2022-08-30,45,18,0,0.4
2022-09-02,57,22,0,0.39
2022-09-04,38,15,0,0.39
2022-09-06,38,9,0,0.24
2022-09-08,40,11,0,0.28
2022-09-10,49,11,0,0.22
2022-09-12,31,11,0,0.35
2022-09-14,34,21,0,0.62
2022-09-16,35,9,0,0.26
2022-09-18,45,17,0,0.38
2022-09-20,39,8,2,0.21
2022-09-22,38,16,0,0.42
2022-09-24,35,8,0,0.23
2022-09-26,38,28,0,0.74
2022-09-28,33,12,0,0.36
2022-09-30,45,14,0,0.31
2022-10-02,45,8,0,0.18
2022-10-04,41,18,0,0.44
2022-10-06,46,16,4,0.35
2022-10-08,36,6,0,0.17
2022-10-10,32,5,1,0.16
