date,total,filter,remove,ratio
2021-12-26,21,2,2,0.1
2021-12-28,16,1,0,0.06
2021-12-30,21,1,0,0.05
2022-01-02,18,2,0,0.11
2022-01-08,23,1,0,0.04
2022-01-10,15,2,4,0.13
2022-01-12,21,2,0,0.1
2022-01-14,19,3,0,0.16
2022-01-16,14,2,5,0.14
2022-01-18,29,2,0,0.07
2022-01-20,22,3,0,0.14
2022-01-22,21,4,0,0.19
2022-01-24,24,3,0,0.12
2022-01-26,24,3,0,0.12
2022-01-28,19,3,0,0.16
2022-01-30,19,3,0,0.16
2022-02-02,24,2,0,0.08
2022-02-04,27,1,0,0.04
2022-02-06,26,4,0,0.15
2022-02-08,21,3,0,0.14
2022-02-10,35,8,0,0.23
2022-02-12,29,1,0,0.03
2022-02-14,18,2,0,0.11
2022-02-16,27,5,0,0.19
2022-02-18,25,3,0,0.12
2022-02-20,29,4,0,0.14
2022-02-22,20,2,0,0.1
2022-02-26,17,1,0,0.06
2022-02-28,31,4,0,0.13
2022-03-02,23,1,0,0.04
2022-03-04,14,2,3,0.14
2022-03-06,18,1,0,0.06
2022-03-08,22,3,0,0.14
2022-03-10,31,2,0,0.06
2022-03-12,27,3,0,0.11
2022-03-14,35,7,0,0.2
2022-03-16,19,2,1,0.11
2022-03-18,22,4,2,0.18
2022-03-20,24,4,1,0.17
2022-03-22,18,7,0,0.39
2022-03-24,18,4,0,0.22
2022-03-26,22,3,0,0.14
2022-03-28,23,4,0,0.17
2022-03-30,19,2,1,0.11
2022-04-02,19,2,4,0.11
2022-04-04,48,3,0,0.06
2022-04-06,31,10,2,0.32
2022-04-08,45,7,0,0.16
2022-04-10,37,4,0,0.11
2022-04-12,40,4,0,0.1
2022-04-14,31,3,1,0.1
2022-04-16,29,2,0,0.07
2022-04-18,50,5,0,0.1
2022-04-20,29,4,2,0.14
2022-04-22,54,4,0,0.07
2022-04-24,32,3,5,0.09
2022-04-26,56,14,6,0.25
2022-04-28,36,5,3,0.14
2022-04-30,34,4,2,0.12
2022-05-02,34,4,0,0.12
2022-05-04,49,7,0,0.14
2022-05-06,38,3,0,0.08
2022-05-08,40,5,0,0.12
2022-05-10,31,1,0,0.03
2022-05-12,46,5,0,0.11
2022-05-14,33,2,0,0.06
2022-05-16,30,4,0,0.13
2022-05-18,57,13,1,0.23
2022-05-20,33,5,0,0.15
2022-05-22,34,9,6,0.26
2022-05-24,31,6,0,0.19
2022-05-26,33,3,4,0.09
2022-06-02,39,7,0,0.18
2022-06-04,35,8,0,0.23
2022-06-06,36,5,3,0.14
2022-06-08,36,1,0,0.03
2022-06-10,45,8,2,0.18
2022-06-12,46,4,0,0.09
2022-06-14,47,9,0,0.19
2022-06-16,41,9,1,0.22
2022-06-18,34,6,0,0.18
2022-06-20,28,2,0,0.07
2022-06-22,49,1,1,0.02
2022-06-24,43,6,0,0.14
2022-06-26,41,5,0,0.12
2022-06-28,45,8,3,0.18
2022-06-30,34,2,0,0.06
2022-07-02,34,1,2,0.03
2022-07-04,32,5,2,0.16
2022-07-06,41,7,0,0.17
2022-07-08,37,8,3,0.22
2022-07-10,36,7,0,0.19
2022-07-12,30,5,3,0.17
2022-07-14,30,4,0,0.13
2022-07-16,36,4,0,0.11
2022-07-18,34,6,2,0.18
2022-07-20,42,3,0,0.07
2022-07-22,52,24,0,0.46
2022-07-24,59,3,0,0.05
2022-07-26,41,4,0,0.1
2022-07-28,29,5,2,0.17
2022-07-30,45,9,0,0.2
2022-08-02,43,7,0,0.16
2022-08-04,48,7,0,0.15
2022-08-06,37,5,0,0.14
2022-08-08,48,8,0,0.17
2022-08-10,31,14,0,0.45
2022-08-12,36,2,0,0.06
2022-08-14,38,4,0,0.11
2022-08-16,32,6,2,0.19
2022-08-18,59,10,0,0.17
2022-08-20,38,13,2,0.34
2022-08-22,35,2,1,0.06
2022-08-24,47,8,0,0.17
2022-08-26,46,5,0,0.11
2022-08-28,46,7,0,0.15
2022-08-30,41,5,4,0.12
2022-09-02,57,7,0,0.12
2022-09-04,34,5,4,0.15
2022-09-06,38,2,0,0.05
2022-09-08,40,7,0,0.18
2022-09-10,46,6,3,0.13
2022-09-12,31,4,0,0.13
2022-09-14,34,5,0,0.15
2022-09-16,35,5,0,0.14
2022-09-18,45,5,0,0.11
2022-09-20,41,6,0,0.15
2022-09-22,38,7,0,0.18
2022-09-24,35,13,0,0.37
2022-09-26,38,11,0,0.29
2022-09-28,33,2,0,0.06
2022-09-30,45,5,0,0.11
2022-10-02,45,8,0,0.18
2022-10-04,39,7,2,0.18
2022-10-06,50,6,0,0.12
2022-10-08,36,6,0,0.17
2022-10-10,28,5,5,0.18
