date,total,filter,remove,ratio
2021-12-26,23,19,0,0.83
2021-12-28,16,11,0,0.69
2021-12-30,21,14,0,0.67
2022-01-02,18,11,0,0.61
2022-01-08,23,16,0,0.7
2022-01-10,19,18,0,0.95
2022-01-12,21,11,0,0.52
2022-01-14,19,16,0,0.84
2022-01-16,17,15,2,0.88
2022-01-18,25,15,4,0.6
2022-01-20,22,16,0,0.73
2022-01-22,21,13,0,0.62
2022-01-24,18,13,6,0.72
2022-01-26,24,17,0,0.71
2022-01-28,18,10,1,0.56
2022-01-30,19,12,0,0.63
2022-02-02,21,17,3,0.81
2022-02-04,27,19,0,0.7
2022-02-06,26,23,0,0.88
2022-02-08,21,12,0,0.57
2022-02-10,35,26,0,0.74
2022-02-12,29,20,0,0.69
2022-02-14,18,16,0,0.89
2022-02-16,27,17,0,0.63
2022-02-18,25,17,0,0.68
2022-02-20,29,20,0,0.69
2022-02-22,18,14,2,0.78
2022-02-26,17,11,0,0.65
2022-02-28,31,23,0,0.74
2022-03-02,23,13,0,0.57
2022-03-04,17,11,0,0.65
2022-03-06,13,7,5,0.54
2022-03-08,22,16,0,0.73
2022-03-10,31,26,0,0.84
2022-03-12,27,22,0,0.81
2022-03-14,29,18,6,0.62
2022-03-16,20,14,0,0.7
2022-03-18,24,16,0,0.67
2022-03-20,23,18,2,0.78
2022-03-22,18,11,0,0.61
2022-03-24,18,17,0,0.94
2022-03-26,21,14,1,0.67
2022-03-28,23,14,0,0.61
2022-03-30,20,18,0,0.9
2022-04-02,20,12,3,0.6
2022-04-04,46,36,2,0.78
2022-04-06,33,24,0,0.73
2022-04-08,45,37,0,0.82
2022-04-10,37,35,0,0.95
2022-04-12,40,32,0,0.8
2022-04-14,32,23,0,0.72
2022-04-16,29,26,0,0.9
2022-04-18,49,41,1,0.84
2022-04-20,31,21,0,0.68
2022-04-22,54,38,0,0.7
2022-04-24,37,29,0,0.78
2022-04-26,62,38,0,0.61
2022-04-28,39,29,0,0.74
2022-04-30,36,27,0,0.75
2022-05-02,34,23,0,0.68
2022-05-04,49,33,0,0.67
2022-05-06,38,30,0,0.79
2022-05-08,40,26,0,0.65
2022-05-10,31,23,0,0.74
2022-05-12,44,24,2,0.55
2022-05-14,33,18,0,0.55
2022-05-16,30,19,0,0.63
2022-05-18,58,40,0,0.69
2022-05-20,33,24,0,0.73
2022-05-22,40,29,0,0.72
2022-05-24,31,24,0,0.77
2022-05-26,37,22,0,0.59
2022-06-02,39,36,0,0.92
2022-06-04,35,26,0,0.74
2022-06-06,39,28,0,0.72
2022-06-08,36,16,0,0.44
2022-06-10,47,35,0,0.74
2022-06-12,46,28,0,0.61
2022-06-14,47,35,0,0.74
2022-06-16,42,33,0,0.79
2022-06-18,34,21,0,0.62
2022-06-20,28,16,0,0.57
2022-06-22,50,49,0,0.98
2022-06-24,41,36,2,0.88
2022-06-26,41,33,0,0.8
2022-06-28,48,30,0,0.62
2022-06-30,30,24,4,0.8
2022-07-02,32,17,4,0.53
2022-07-04,34,28,0,0.82
2022-07-06,41,32,0,0.78
2022-07-08,40,36,0,0.9
2022-07-10,36,24,0,0.67
2022-07-12,33,30,0,0.91
2022-07-14,27,19,3,0.7
2022-07-16,36,21,0,0.58
2022-07-18,36,22,0,0.61
2022-07-20,42,26,0,0.62
2022-07-22,52,38,0,0.73
2022-07-24,59,53,0,0.9
2022-07-26,41,30,0,0.73
2022-07-28,31,24,0,0.77
2022-07-30,45,28,0,0.62
2022-08-02,43,28,0,0.65
2022-08-04,48,30,0,0.62
2022-08-06,37,28,0,0.76
2022-08-08,48,37,0,0.77
2022-08-10,31,21,0,0.68
2022-08-12,36,33,0,0.92
2022-08-14,38,26,0,0.68
2022-08-16,34,21,0,0.62
2022-08-18,59,46,0,0.78
2022-08-20,40,29,0,0.72
2022-08-22,36,31,0,0.86
2022-08-24,47,42,0,0.89
2022-08-26,46,41,0,0.89
2022-08-28,46,34,0,0.74
2022-08-30,43,26,2,0.6
2022-09-02,57,35,0,0.61
2022-09-04,38,34,0,0.89
2022-09-06,38,33,0,0.87
2022-09-08,40,32,0,0.8
2022-09-10,49,47,0,0.96
2022-09-12,31,27,0,0.87
2022-09-14,34,32,0,0.94
2022-09-16,35,32,0,0.91
2022-09-18,45,28,0,0.62
2022-09-20,41,31,0,0.76
2022-09-22,38,33,0,0.87
2022-09-24,35,28,0,0.8
2022-09-26,38,27,0,0.71
2022-09-28,33,23,0,0.7
2022-09-30,45,32,0,0.71
2022-10-02,45,40,0,0.89
2022-10-04,39,25,2,0.64
2022-10-06,50,41,0,0.82
2022-10-08,36,23,0,0.64
2022-10-10,33,29,0,0.88
