date,total,filter,remove,ratio
2021-12-26,23,3,0,0.13
2021-12-28,16,3,0,0.19
2021-12-30,15,2,6,0.13
2022-01-02,17,5,1,0.29
2022-01-08,23,4,0,0.17
2022-01-10,19,6,0,0.32
2022-01-12,21,5,0,0.24
2022-01-14,19,8,0,0.42
2022-01-16,18,2,1,0.11
2022-01-18,26,10,3,0.38
2022-01-20,22,3,0,0.14
2022-01-22,21,7,0,0.33
2022-01-24,24,5,0,0.21
2022-01-26,24,9,0,0.38
2022-01-28,19,3,0,0.16
2022-01-30,19,7,0,0.37
2022-02-02,24,8,0,0.33
2022-02-04,27,13,0,0.48
2022-02-06,26,12,0,0.46
2022-02-08,21,6,0,0.29
2022-02-10,35,12,0,0.34
2022-02-12,29,11,0,0.38
2022-02-14,18,6,0,0.33
2022-02-16,27,6,0,0.22
2022-02-18,25,3,0,0.12
2022-02-20,29,5,0,0.17
2022-02-22,20,6,0,0.3
2022-02-26,17,6,0,0.35
2022-02-28,31,11,0,0.35
2022-03-02,23,4,0,0.17
2022-03-04,17,2,0,0.12
2022-03-06,18,5,0,0.28
2022-03-08,21,6,1,0.29
2022-03-10,31,9,0,0.29
2022-03-12,27,7,0,0.26
2022-03-14,35,9,0,0.26
2022-03-16,20,4,0,0.2
2022-03-18,21,5,3,0.24
2022-03-20,25,7,0,0.28
2022-03-22,18,7,0,0.39
2022-03-24,18,5,0,0.28
2022-03-26,22,4,0,0.18
2022-03-28,20,7,3,0.35
2022-03-30,20,2,0,0.1
2022-04-02,23,6,0,0.26
2022-04-04,47,18,1,0.38
2022-04-06,33,5,0,0.15
2022-04-08,45,9,0,0.2
2022-04-10,37,8,0,0.22
2022-04-12,40,15,0,0.38
2022-04-14,32,7,0,0.22
2022-04-16,29,10,0,0.34
2022-04-18,50,9,0,0.18
2022-04-20,31,9,0,0.29
2022-04-22,53,7,1,0.13
2022-04-24,37,14,0,0.38
2022-04-26,62,26,0,0.42
2022-04-28,39,9,0,0.23
2022-04-30,36,9,0,0.25
2022-05-02,34,10,0,0.29
2022-05-04,49,12,0,0.24
2022-05-06,38,14,0,0.37
2022-05-08,38,11,2,0.29
2022-05-10,31,12,0,0.39
2022-05-12,46,18,0,0.39
2022-05-14,33,13,0,0.39
2022-05-16,30,9,0,0.3
2022-05-18,58,17,0,0.29
2022-05-20,33,8,0,0.24
2022-05-22,40,11,0,0.28
2022-05-24,31,14,0,0.45
2022-05-26,36,8,1,0.22
2022-06-02,39,15,0,0.38
2022-06-04,35,15,0,0.43
2022-06-06,35,15,4,0.43
2022-06-08,36,14,0,0.39
2022-06-10,47,7,0,0.15
2022-06-12,46,9,0,0.2
2022-06-14,47,13,0,0.28
2022-06-16,42,15,0,0.36
2022-06-18,33,6,1,0.18
2022-06-20,28,7,0,0.25
2022-06-22,50,20,0,0.4
2022-06-24,43,9,0,0.21
2022-06-26,41,14,0,0.34
2022-06-28,48,17,0,0.35
2022-06-30,34,9,0,0.26
2022-07-02,36,8,0,0.22
2022-07-04,34,13,0,0.38
2022-07-06,41,19,0,0.46
2022-07-08,39,14,1,0.36
2022-07-10,36,16,0,0.44
2022-07-12,33,11,0,0.33
2022-07-14,30,6,0,0.2
2022-07-16,36,8,0,0.22
2022-07-18,36,7,0,0.19
2022-07-20,42,12,0,0.29
2022-07-22,52,7,0,0.13
2022-07-24,59,24,0,0.41
2022-07-26,41,15,0,0.37
2022-07-28,30,9,1,0.3
2022-07-30,45,9,0,0.2
2022-08-02,43,12,0,0.28
2022-08-04,48,18,0,0.38
2022-08-06,37,14,0,0.38
2022-08-08,48,16,0,0.33
2022-08-10,31,6,0,0.19
2022-08-12,32,8,4,0.25
2022-08-14,37,14,1,0.38
2022-08-16,34,7,0,0.21
2022-08-18,59,19,0,0.32
2022-08-20,40,13,0,0.32
2022-08-22,36,7,0,0.19
2022-08-24,47,21,0,0.45
2022-08-26,46,19,0,0.41
2022-08-28,46,8,0,0.17
2022-08-30,45,20,0,0.44
2022-09-02,57,26,0,0.46
2022-09-04,38,12,0,0.32
2022-09-06,38,7,0,0.18
2022-09-08,40,6,0,0.15
2022-09-10,49,15,0,0.31
2022-09-12,29,9,2,0.31
2022-09-14,32,10,2,0.31
2022-09-16,34,9,1,0.26
2022-09-18,45,16,0,0.36
2022-09-20,41,7,0,0.17
2022-09-22,38,13,0,0.34
2022-09-24,32,5,3,0.16
2022-09-26,33,13,5,0.39
2022-09-28,33,3,0,0.09
2022-09-30,45,9,0,0.2
2022-10-02,45,17,0,0.38
2022-10-04,38,17,3,0.45
2022-10-06,50,13,0,0.26
2022-10-08,33,10,3,0.3
2022-10-10,33,4,0,0.12
