date,total,filter,remove,ratio
2021-12-26,23,17,0,0.74
2021-12-28,16,11,0,0.69
2021-12-30,21,12,0,0.57
2022-01-02,18,12,0,0.67
2022-01-08,23,12,0,0.52
2022-01-10,19,11,0,0.58
2022-01-12,21,10,0,0.48
2022-01-14,19,10,0,0.53
2022-01-16,16,7,3,0.44
2022-01-18,27,10,2,0.37
2022-01-20,22,14,0,0.64
2022-01-22,18,7,3,0.39
2022-01-24,24,11,0,0.46
2022-01-26,24,13,0,0.54
2022-01-28,19,7,0,0.37
2022-01-30,19,10,0,0.53
2022-02-02,24,18,0,0.75
2022-02-04,22,9,5,0.41
2022-02-06,26,13,0,0.5
2022-02-08,21,10,0,0.48
2022-02-10,35,13,0,0.37
2022-02-12,29,19,0,0.66
2022-02-14,18,6,0,0.33
2022-02-16,27,16,0,0.59
2022-02-18,25,14,0,0.56
2022-02-20,29,10,0,0.34
2022-02-22,20,14,0,0.7
2022-02-26,17,10,0,0.59
2022-02-28,31,13,0,0.42
2022-03-02,23,12,0,0.52
2022-03-04,16,6,1,0.38
2022-03-06,17,8,1,0.47
2022-03-08,22,16,0,0.73
2022-03-10,31,13,0,0.42
2022-03-12,27,13,0,0.48
2022-03-14,34,17,1,0.5
2022-03-16,20,10,0,0.5
2022-03-18,24,18,0,0.75
2022-03-20,23,8,2,0.35
2022-03-22,18,11,0,0.61
2022-03-24,18,7,0,0.39
2022-03-26,22,13,0,0.59
2022-03-28,23,9,0,0.39
2022-03-30,20,8,0,0.4
2022-04-02,23,12,0,0.52
2022-04-04,48,25,0,0.52
2022-04-06,33,17,0,0.52
2022-04-08,45,25,0,0.56
2022-04-10,37,25,0,0.68
2022-04-12,39,18,1,0.46
2022-04-14,32,10,0,0.31
2022-04-16,29,10,0,0.34
2022-04-18,50,27,0,0.54
2022-04-20,31,22,0,0.71
2022-04-22,54,30,0,0.56
2022-04-24,37,16,0,0.43
2022-04-26,60,21,2,0.35
2022-04-28,39,15,0,0.38
2022-04-30,36,18,0,0.5
2022-05-02,34,16,0,0.47
2022-05-04,49,31,0,0.63
2022-05-06,38,29,0,0.76
2022-05-08,40,19,0,0.48
2022-05-10,31,12,0,0.39
2022-05-12,43,25,3,0.58
2022-05-14,33,21,0,0.64
2022-05-16,30,12,0,0.4
2022-05-18,58,22,0,0.38
2022-05-20,28,18,5,0.64
2022-05-22,38,20,2,0.53
2022-05-24,31,16,0,0.52
2022-05-26,37,23,0,0.62
2022-06-02,39,13,0,0.33
2022-06-04,35,18,0,0.51
2022-06-06,39,24,0,0.62
2022-06-08,36,22,0,0.61
2022-06-10,47,16,0,0.34
2022-06-12,46,17,0,0.37
2022-06-14,47,33,0,0.7
2022-06-16,42,23,0,0.55
2022-06-18,34,13,0,0.38
2022-06-20,28,19,0,0.68
2022-06-22,50,24,0,0.48
2022-06-24,43,15,0,0.35
2022-06-26,41,23,0,0.56
2022-06-28,45,26,3,0.58
2022-06-30,34,18,0,0.53
2022-07-02,36,26,0,0.72
2022-07-04,34,18,0,0.53
2022-07-06,41,16,0,0.39
2022-07-08,40,31,0,0.78
2022-07-10,36,18,0,0.5
2022-07-12,31,14,2,0.45
2022-07-14,30,20,0,0.67
2022-07-16,33,21,3,0.64
2022-07-18,33,18,3,0.55
2022-07-20,39,27,3,0.69
2022-07-22,50,35,2,0.7
2022-07-24,59,33,0,0.56
2022-07-26,41,18,0,0.44
2022-07-28,31,18,0,0.58
2022-07-30,45,27,0,0.6
2022-08-02,40,18,3,0.45
2022-08-04,48,19,0,0.4
2022-08-06,36,23,1,0.64
2022-08-08,48,35,0,0.73
2022-08-10,31,22,0,0.71
2022-08-12,33,17,3,0.52
2022-08-14,38,25,0,0.66
2022-08-16,34,22,0,0.65
2022-08-18,59,28,0,0.47
2022-08-20,40,18,0,0.45
2022-08-22,36,13,0,0.36
2022-08-24,47,23,0,0.49
2022-08-26,46,29,0,0.63
2022-08-28,45,28,1,0.62
2022-08-30,45,27,0,0.6
2022-09-02,57,28,0,0.49
2022-09-04,35,18,3,0.51
2022-09-06,38,21,0,0.55
2022-09-08,40,27,0,0.68
2022-09-10,49,30,0,0.61
2022-09-12,31,15,0,0.48
2022-09-14,34,14,0,0.41
2022-09-16,33,13,2,0.39
2022-09-18,44,15,1,0.34
2022-09-20,41,24,0,0.59
2022-09-22,36,19,2,0.53
2022-09-24,35,14,0,0.4
2022-09-26,38,20,0,0.53
2022-09-28,33,21,0,0.64
2022-09-30,41,25,4,0.61
2022-10-02,45,35,0,0.78
2022-10-04,41,15,0,0.37
2022-10-06,50,39,0,0.78
2022-10-08,35,15,1,0.43
2022-10-10,33,18,0,0.55
