date,total,filter,remove,ratio
2021-12-26,19,7,4,0.37
2021-12-28,16,7,0,0.44
2021-12-30,21,12,0,0.57
2022-01-02,18,6,0,0.33
2022-01-08,19,9,4,0.47
2022-01-10,19,5,0,0.26
2022-01-12,21,5,0,0.24
2022-01-14,18,9,1,0.5
2022-01-16,19,7,0,0.37
2022-01-18,29,15,0,0.52
2022-01-20,22,11,0,0.5
2022-01-22,18,7,3,0.39
2022-01-24,24,8,0,0.33
2022-01-26,24,13,0,0.54
2022-01-28,17,7,2,0.41
2022-01-30,19,6,0,0.32
2022-02-02,24,11,0,0.46
2022-02-04,27,13,0,0.48
2022-02-06,26,7,0,0.27
2022-02-08,21,8,0,0.38
2022-02-10,35,21,0,0.6
2022-02-12,29,15,0,0.52
2022-02-14,18,9,0,0.5
2022-02-16,27,11,0,0.41
2022-02-18,25,8,0,0.32
2022-02-20,29,18,0,0.62
2022-02-22,20,12,0,0.6
2022-02-26,14,6,3,0.43
2022-02-28,31,17,0,0.55
2022-03-02,23,9,0,0.39
2022-03-04,17,5,0,0.29
2022-03-06,18,9,0,0.5
2022-03-08,20,14,2,0.7
2022-03-10,29,12,2,0.41
2022-03-12,27,6,0,0.22
2022-03-14,35,20,0,0.57
2022-03-16,20,8,0,0.4
2022-03-18,24,6,0,0.25
2022-03-20,21,6,4,0.29
2022-03-22,18,4,0,0.22
2022-03-24,15,4,3,0.27
2022-03-26,22,4,0,0.18
2022-03-28,23,8,0,0.35
2022-03-30,20,6,0,0.3
2022-04-02,23,17,0,0.74
2022-04-04,48,25,0,0.52
2022-04-06,33,17,0,0.52
2022-04-08,42,21,3,0.5
2022-04-10,32,7,5,0.22
2022-04-12,39,15,1,0.38
2022-04-14,32,11,0,0.34
2022-04-16,29,6,0,0.21
2022-04-18,50,18,0,0.36
2022-04-20,31,14,0,0.45
2022-04-22,54,16,0,0.3
2022-04-24,37,15,0,0.41
2022-04-26,62,24,0,0.39
2022-04-28,39,20,0,0.51
2022-04-30,36,16,0,0.44
2022-05-02,34,22,0,0.65
2022-05-04,47,11,2,0.23
2022-05-06,36,16,2,0.44
2022-05-08,40,17,0,0.42
2022-05-10,31,7,0,0.23
2022-05-12,46,15,0,0.33
2022-05-14,33,18,0,0.55
2022-05-16,30,8,0,0.27
2022-05-18,58,26,0,0.45
2022-05-20,33,23,0,0.7
2022-05-22,40,10,0,0.25
2022-05-24,31,13,0,0.42
2022-05-26,37,15,0,0.41
2022-06-02,39,11,0,0.28
2022-06-04,35,10,0,0.29
2022-06-06,39,9,0,0.23
2022-06-08,36,17,0,0.47
2022-06-10,47,24,0,0.51
2022-06-12,46,22,0,0.48
2022-06-14,47,26,0,0.55
2022-06-16,41,26,1,0.63
2022-06-18,34,20,0,0.59
2022-06-20,28,12,0,0.43
2022-06-22,50,32,0,0.64
2022-06-24,41,23,2,0.56
2022-06-26,41,20,0,0.49
2022-06-28,48,15,0,0.31
2022-06-30,34,16,0,0.47
2022-07-02,36,21,0,0.58
2022-07-04,34,11,0,0.32
2022-07-06,41,11,0,0.27
2022-07-08,40,14,0,0.35
2022-07-10,36,16,0,0.44
2022-07-12,33,8,0,0.24
2022-07-14,30,16,0,0.53
2022-07-16,35,16,1,0.46
2022-07-18,36,11,0,0.31
2022-07-20,39,15,3,0.38
2022-07-22,51,17,1,0.33
2022-07-24,56,15,3,0.27
2022-07-26,41,17,0,0.41
2022-07-28,31,12,0,0.39
2022-07-30,45,16,0,0.36
2022-08-02,43,19,0,0.44
2022-08-04,48,30,0,0.62
2022-08-06,37,11,0,0.3
2022-08-08,48,22,0,0.46
2022-08-10,31,6,0,0.19
2022-08-12,36,12,0,0.33
2022-08-14,38,20,0,0.53
2022-08-16,34,18,0,0.53
2022-08-18,59,31,0,0.53
2022-08-20,40,13,0,0.32
2022-08-22,36,13,0,0.36
2022-08-24,47,19,0,0.4
2022-08-26,46,20,0,0.43
2022-08-28,46,13,0,0.28
2022-08-30,45,28,0,0.62
2022-09-02,57,16,0,0.28
2022-09-04,38,23,0,0.61
2022-09-06,38,21,0,0.55
2022-09-08,34,15,6,0.44
2022-09-10,49,43,0,0.88
2022-09-12,31,18,0,0.58
2022-09-14,34,16,0,0.47
2022-09-16,35,22,0,0.63
2022-09-18,45,24,0,0.53
2022-09-20,41,12,0,0.29
2022-09-22,38,9,0,0.24
2022-09-24,35,11,0,0.31
2022-09-26,38,16,0,0.42
2022-09-28,33,17,0,0.52
2022-09-30,45,25,0,0.56
2022-10-02,45,8,0,0.18
2022-10-04,41,23,0,0.56
2022-10-06,50,31,0,0.62
2022-10-08,36,15,0,0.42
2022-10-10,33,9,0,0.27
