date,total,filter,remove,ratio
2021-12-26,23,5,0,0.22
2021-12-28,16,3,0,0.19
2021-12-30,20,6,1,0.3
2022-01-02,16,2,2,0.12
2022-01-08,23,4,0,0.17
2022-01-10,19,2,0,0.11
2022-01-12,21,3,0,0.14
2022-01-14,19,2,0,0.11
2022-01-16,19,1,0,0.05
2022-01-18,27,5,2,0.19
2022-01-20,22,5,0,0.23
2022-01-22,21,3,0,0.14
2022-01-24,24,8,0,0.33
2022-01-26,24,1,0,0.04
2022-01-28,19,1,0,0.05
2022-01-30,19,5,0,0.26
2022-02-02,22,2,2,0.09
2022-02-04,27,2,0,0.07
2022-02-06,24,1,2,0.04
2022-02-08,20,7,1,0.35
2022-02-10,35,6,0,0.17
2022-02-12,29,5,0,0.17
2022-02-14,18,2,0,0.11
2022-02-16,21,3,6,0.14
2022-02-18,25,7,0,0.28
2022-02-20,25,2,4,0.08
2022-02-22,14,2,6,0.14
2022-02-26,17,4,0,0.24
2022-02-28,31,5,0,0.16
2022-03-02,23,6,0,0.26
2022-03-04,17,0,0,0.0
2022-03-06,18,4,0,0.22
2022-03-08,22,7,0,0.32
2022-03-10,31,2,0,0.06
2022-03-12,27,7,0,0.26
2022-03-14,35,1,0,0.03
2022-03-16,20,5,0,0.25
2022-03-18,24,7,0,0.29
2022-03-20,25,2,0,0.08
2022-03-22,18,2,0,0.11
2022-03-24,18,6,0,0.33
2022-03-26,20,1,2,0.05
2022-03-28,23,6,0,0.26
2022-03-30,20,2,0,0.1
2022-04-02,23,1,0,0.04
2022-04-04,48,9,0,0.19
2022-04-06,33,3,0,0.09
2022-04-08,45,13,0,0.29
2022-04-10,37,9,0,0.24
2022-04-12,40,10,0,0.25
2022-04-14,32,6,0,0.19
2022-04-16,29,3,0,0.1
2022-04-18,50,11,0,0.22
2022-04-20,31,6,0,0.19
2022-04-22,54,11,0,0.2
2022-04-24,37,7,0,0.19
2022-04-26,62,13,0,0.21
2022-04-28,39,9,0,0.23
2022-04-30,35,7,1,0.2
2022-05-02,33,6,1,0.18
2022-05-04,49,11,0,0.22
2022-05-06,38,6,0,0.16
2022-05-08,38,1,2,0.03
2022-05-10,31,7,0,0.23
2022-05-12,46,12,0,0.26
2022-05-14,29,5,4,0.17
2022-05-16,30,4,0,0.13
2022-05-18,58,17,0,0.29
2022-05-20,33,6,0,0.18
2022-05-22,40,10,0,0.25
2022-05-24,31,0,0,0.0
2022-05-26,37,10,0,0.27
2022-06-02,39,5,0,0.13
2022-06-04,35,2,0,0.06
2022-06-06,39,6,0,0.15
2022-06-08,36,6,0,0.17
2022-06-10,47,10,0,0.21
2022-06-12,46,12,0,0.26
2022-06-14,47,12,0,0.26
2022-06-16,42,5,0,0.12
2022-06-18,34,6,0,0.18
2022-06-20,28,5,0,0.18
2022-06-22,48,11,2,0.23
2022-06-24,43,10,0,0.23
2022-06-26,41,4,0,0.1
2022-06-28,47,1,1,0.02
2022-06-30,34,8,0,0.24
2022-07-02,36,9,0,0.25
2022-07-04,34,4,0,0.12
2022-07-06,41,3,0,0.07
2022-07-08,40,14,0,0.35
2022-07-10,36,11,0,0.31
2022-07-12,33,4,0,0.12
2022-07-14,30,2,0,0.07
2022-07-16,36,8,0,0.22
2022-07-18,36,4,0,0.11
2022-07-20,40,4,2,0.1
2022-07-22,52,7,0,0.13
2022-07-24,59,2,0,0.03
2022-07-26,41,11,0,0.27
2022-07-28,31,3,0,0.1
2022-07-30,45,7,0,0.16
2022-08-02,43,0,0,0.0
2022-08-04,48,3,0,0.06
2022-08-06,35,6,2,0.17
2022-08-08,48,6,0,0.12
2022-08-10,31,13,0,0.42
2022-08-12,36,3,0,0.08
2022-08-14,38,2,0,0.05
2022-08-16,30,11,4,0.37
2022-08-18,59,10,0,0.17
2022-08-20,40,11,0,0.28
2022-08-22,36,5,0,0.14
2022-08-24,47,10,0,0.21
2022-08-26,46,13,0,0.28
2022-08-28,46,11,0,0.24
2022-08-30,45,5,0,0.11
2022-09-02,57,19,0,0.33
2022-09-04,38,10,0,0.26
2022-09-06,38,8,0,0.21
2022-09-08,40,2,0,0.05
2022-09-10,49,10,0,0.2
2022-09-12,31,8,0,0.26
2022-09-14,31,3,3,0.1
2022-09-16,35,3,0,0.09
2022-09-18,45,10,0,0.22
2022-09-20,41,6,0,0.15
2022-09-22,38,7,0,0.18
2022-09-24,35,4,0,0.11
2022-09-26,38,2,0,0.05
2022-09-28,33,4,0,0.12
2022-09-30,45,4,0,0.09
2022-10-02,45,9,0,0.2
2022-10-04,40,7,1,0.18
2022-10-06,50,6,0,0.12
2022-10-08,36,6,0,0.17
2022-10-10,30,8,3,0.27
