date,total,filter,remove,ratio
2021-12-26,23,9,0,0.39
2021-12-28,13,5,3,0.38
2021-12-30,21,9,0,0.43
2022-01-02,18,4,0,0.22
2022-01-08,23,6,0,0.26
2022-01-10,19,10,0,0.53
2022-01-12,21,9,0,0.43
2022-01-14,19,5,0,0.26
2022-01-16,19,7,0,0.37
2022-01-18,29,15,0,0.52
2022-01-20,22,6,0,0.27
2022-01-22,19,5,2,0.26
2022-01-24,24,8,0,0.33
2022-01-26,24,15,0,0.62
2022-01-28,18,8,1,0.44
2022-01-30,19,6,0,0.32
2022-02-02,23,13,1,0.57
2022-02-04,27,9,0,0.33
2022-02-06,21,11,5,0.52
2022-02-08,21,5,0,0.24
2022-02-10,34,24,1,0.71
2022-02-12,24,10,5,0.42
2022-02-14,18,4,0,0.22
2022-02-16,27,12,0,0.44
2022-02-18,23,6,2,0.26
2022-02-20,29,13,0,0.45
2022-02-22,20,12,0,0.6
2022-02-26,17,7,0,0.41
2022-02-28,31,16,0,0.52
2022-03-02,23,12,0,0.52
2022-03-04,17,5,0,0.29
2022-03-06,18,9,0,0.5
2022-03-08,22,7,0,0.32
2022-03-10,28,17,3,0.61
2022-03-12,27,11,0,0.41
2022-03-14,35,21,0,0.6
2022-03-16,20,9,0,0.45
2022-03-18,24,11,0,0.46
2022-03-20,25,11,0,0.44
2022-03-22,18,6,0,0.33
2022-03-24,18,10,0,0.56
2022-03-26,22,9,0,0.41
2022-03-28,23,8,0,0.35
2022-03-30,19,11,1,0.58
2022-04-02,23,11,0,0.48
2022-04-04,48,24,0,0.5
2022-04-06,33,19,0,0.58
2022-04-08,45,12,0,0.27
2022-04-10,37,24,0,0.65
2022-04-12,40,24,0,0.6
2022-04-14,32,15,0,0.47
2022-04-16,29,17,0,0.59
2022-04-18,50,29,0,0.58
2022-04-20,30,12,1,0.4
2022-04-22,54,24,0,0.44
2022-04-24,37,16,0,0.43
2022-04-26,62,15,0,0.24
2022-04-28,39,9,0,0.23
2022-04-30,36,23,0,0.64
2022-05-02,34,13,0,0.38
2022-05-04,49,12,0,0.24
2022-05-06,38,21,0,0.55
2022-05-08,40,23,0,0.57
2022-05-10,31,18,0,0.58
2022-05-12,46,14,0,0.3
2022-05-14,33,12,0,0.36
2022-05-16,30,16,0,0.53
2022-05-18,58,19,0,0.33
2022-05-20,33,17,0,0.52
2022-05-22,38,25,2,0.66
2022-05-24,31,15,0,0.48
2022-05-26,34,8,3,0.24
2022-06-02,39,20,0,0.51
2022-06-04,35,8,0,0.23
2022-06-06,39,12,0,0.31
2022-06-08,36,15,0,0.42
2022-06-10,47,18,0,0.38
2022-06-12,46,12,0,0.26
2022-06-14,46,24,1,0.52
2022-06-16,42,25,0,0.6
2022-06-18,34,13,0,0.38
2022-06-20,28,8,0,0.29
2022-06-22,50,29,0,0.58
2022-06-24,43,23,0,0.53
2022-06-26,41,9,0,0.22
2022-06-28,46,16,2,0.35
2022-06-30,34,20,0,0.59
2022-07-02,36,13,0,0.36
2022-07-04,34,18,0,0.53
2022-07-06,41,18,0,0.44
2022-07-08,37,12,3,0.32
2022-07-10,36,14,0,0.39
2022-07-12,33,14,0,0.42
2022-07-14,30,14,0,0.47
2022-07-16,36,20,0,0.56
2022-07-18,36,13,0,0.36
2022-07-20,42,19,0,0.45
2022-07-22,51,13,1,0.25
2022-07-24,56,13,3,0.23
2022-07-26,41,19,0,0.46
2022-07-28,26,9,5,0.35
2022-07-30,45,18,0,0.4
2022-08-02,43,18,0,0.42
2022-08-04,48,19,0,0.4
2022-08-06,37,8,0,0.22
2022-08-08,48,21,0,0.44
2022-08-10,31,9,0,0.29
2022-08-12,36,16,0,0.44
2022-08-14,38,13,0,0.34
2022-08-16,34,9,0,0.26
2022-08-18,59,25,0,0.42
2022-08-20,38,18,2,0.47
2022-08-22,32,7,4,0.22
2022-08-24,47,31,0,0.66
2022-08-26,42,22,4,0.52
2022-08-28,46,25,0,0.54
2022-08-30,44,21,1,0.48
2022-09-02,57,15,0,0.26
2022-09-04,38,16,0,0.42
2022-09-06,33,17,5,0.52
2022-09-08,40,20,0,0.5
2022-09-10,49,22,0,0.45
2022-09-12,31,13,0,0.42
2022-09-14,34,16,0,0.47
2022-09-16,33,25,2,0.76
2022-09-18,45,15,0,0.33
2022-09-20,41,24,0,0.59
2022-09-22,38,19,0,0.5
2022-09-24,35,13,0,0.37
2022-09-26,36,20,2,0.56
2022-09-28,33,16,0,0.48
2022-09-30,45,19,0,0.42
2022-10-02,45,25,0,0.56
2022-10-04,38,15,3,0.39
2022-10-06,50,28,0,0.56
2022-10-08,36,11,0,0.31
2022-10-10,33,18,0,0.55
