date,total,filter,remove,ratio
2021-12-26,23,8,0,0.35
2021-12-28,12,8,4,0.67
2021-12-30,21,8,0,0.38
2022-01-02,18,8,0,0.44
2022-01-08,23,16,0,0.7
2022-01-10,19,12,0,0.63
2022-01-12,21,17,0,0.81
2022-01-14,19,7,0,0.37
2022-01-16,19,13,0,0.68
2022-01-18,29,13,0,0.45
2022-01-20,17,9,5,0.53
2022-01-22,21,8,0,0.38
2022-01-24,24,11,0,0.46
2022-01-26,24,8,0,0.33
2022-01-28,19,11,0,0.58
2022-01-30,19,11,0,0.58
2022-02-02,24,11,0,0.46
2022-02-04,27,14,0,0.52
2022-02-06,24,7,2,0.29
2022-02-08,21,7,0,0.33
2022-02-10,31,17,4,0.55
2022-02-12,29,18,0,0.62
2022-02-14,18,8,0,0.44
2022-02-16,27,14,0,0.52
2022-02-18,24,10,1,0.42
2022-02-20,27,15,2,0.56
2022-02-22,20,10,0,0.5
2022-02-26,17,11,0,0.65
2022-02-28,31,18,0,0.58
2022-03-02,19,6,4,0.32
2022-03-04,17,6,0,0.35
2022-03-06,18,10,0,0.56
2022-03-08,22,11,0,0.5
2022-03-10,31,15,0,0.48
2022-03-12,27,19,0,0.7
2022-03-14,35,15,0,0.43
2022-03-16,15,8,5,0.53
2022-03-18,24,10,0,0.42
2022-03-20,25,11,0,0.44
2022-03-22,18,9,0,0.5
2022-03-24,18,11,0,0.61
2022-03-26,22,7,0,0.32
2022-03-28,23,11,0,0.48
2022-03-30,20,14,0,0.7
2022-04-02,23,14,0,0.61
2022-04-04,48,18,0,0.38
2022-04-06,27,11,6,0.41
2022-04-08,45,21,0,0.47
2022-04-10,37,13,0,0.35
2022-04-12,40,23,0,0.57
2022-04-14,32,15,0,0.47
2022-04-16,29,15,0,0.52
2022-04-18,50,26,0,0.52
2022-04-20,31,23,0,0.74
2022-04-22,54,24,0,0.44
2022-04-24,37,11,0,0.3
2022-04-26,62,22,0,0.35
2022-04-28,39,16,0,0.41
2022-04-30,36,20,0,0.56
2022-05-02,34,21,0,0.62
2022-05-04,49,32,0,0.65
2022-05-06,38,16,0,0.42
2022-05-08,40,12,0,0.3
2022-05-10,31,11,0,0.35
2022-05-12,46,27,0,0.59
2022-05-14,33,21,0,0.64
2022-05-16,30,15,0,0.5
2022-05-18,58,35,0,0.6
2022-05-20,33,20,0,0.61
2022-05-22,40,15,0,0.38
2022-05-24,29,9,2,0.31
2022-05-26,37,13,0,0.35
2022-06-02,39,14,0,0.36
2022-06-04,35,14,0,0.4
2022-06-06,35,20,4,0.57
2022-06-08,36,17,0,0.47
2022-06-10,47,21,0,0.45
2022-06-12,46,16,0,0.35
2022-06-14,47,19,0,0.4
2022-06-16,42,21,0,0.5
2022-06-18,34,13,0,0.38
2022-06-20,28,16,0,0.57
2022-06-22,50,20,0,0.4
2022-06-24,43,29,0,0.67
2022-06-26,41,22,0,0.54
2022-06-28,48,26,0,0.54
2022-06-30,34,10,0,0.29
2022-07-02,36,28,0,0.78
2022-07-04,34,15,0,0.44
2022-07-06,41,26,0,0.63
2022-07-08,40,25,0,0.62
2022-07-10,36,22,0,0.61
2022-07-12,33,15,0,0.45
2022-07-14,30,17,0,0.57
2022-07-16,36,18,0,0.5
2022-07-18,34,19,2,0.56
2022-07-20,42,26,0,0.62
2022-07-22,52,21,0,0.4
2022-07-24,59,30,0,0.51
2022-07-26,41,14,0,0.34
2022-07-28,31,19,0,0.61
2022-07-30,45,16,0,0.36
2022-08-02,43,15,0,0.35
2022-08-04,48,25,0,0.52
2022-08-06,37,25,0,0.68
2022-08-08,48,25,0,0.52
2022-08-10,31,10,0,0.32
2022-08-12,36,26,0,0.72
2022-08-14,38,19,0,0.5
2022-08-16,34,12,0,0.35
2022-08-18,59,27,0,0.46
2022-08-20,40,16,0,0.4
2022-08-22,34,16,2,0.47
2022-08-24,47,15,0,0.32
2022-08-26,46,24,0,0.52
2022-08-28,46,22,0,0.48
2022-08-30,43,22,2,0.51
2022-09-02,57,25,0,0.44
2022-09-04,38,16,0,0.42
2022-09-06,38,16,0,0.42
2022-09-08,40,13,0,0.32
2022-09-10,49,18,0,0.37
2022-09-12,31,23,0,0.74
2022-09-14,34,12,0,0.35
2022-09-16,35,16,0,0.46
2022-09-18,45,15,0,0.33
2022-09-20,41,13,0,0.32
2022-09-22,38,13,0,0.34
2022-09-24,35,14,0,0.4
2022-09-26,38,20,0,0.53
2022-09-28,33,11,0,0.33
2022-09-30,45,23,0,0.51
2022-10-02,45,20,0,0.44
2022-10-04,41,26,0,0.63
2022-10-06,50,31,0,0.62
2022-10-08,36,12,0,0.33
2022-10-10,33,22,0,0.67
