date,total,filter,remove,ratio
2021-12-26,23,0,0,0.0
2021-12-28,16,1,0,0.06
2021-12-30,21,2,0,0.1
2022-01-02,17,1,1,0.06
2022-01-08,23,2,0,0.09
2022-01-10,19,1,0,0.05
2022-01-12,21,0,0,0.0
2022-01-14,19,2,0,0.11
2022-01-16,19,0,0,0.0
2022-01-18,29,4,0,0.14
2022-01-20,22,0,0,0.0
2022-01-22,21,1,0,0.05
2022-01-24,24,2,0,0.08
2022-01-26,21,0,3,0.0
2022-01-28,19,3,0,0.16
2022-01-30,19,1,0,0.05
2022-02-02,24,3,0,0.12
2022-02-04,27,3,0,0.11
2022-02-06,26,5,0,0.19
2022-02-08,21,3,0,0.14
2022-02-10,33,3,2,0.09
2022-02-12,27,2,2,0.07
2022-02-14,18,2,0,0.11
2022-02-16,27,0,0,0.0
2022-02-18,25,2,0,0.08
2022-02-20,29,1,0,0.03
2022-02-22,20,2,0,0.1
2022-02-26,17,0,0,0.0
2022-02-28,31,5,0,0.16
2022-03-02,23,2,0,0.09
2022-03-04,17,1,0,0.06
2022-03-06,18,0,0,0.0
2022-03-08,22,1,0,0.05
2022-03-10,31,2,0,0.06
2022-03-12,27,1,0,0.04
2022-03-14,35,1,0,0.03
2022-03-16,19,2,1,0.11
2022-03-18,24,0,0,0.0
2022-03-20,25,0,0,0.0
2022-03-22,18,0,0,0.0
2022-03-24,14,0,4,0.0
2022-03-26,22,0,0,0.0
2022-03-28,23,1,0,0.04
2022-03-30,20,1,0,0.05
2022-04-02,23,0,0,0.0
2022-04-04,48,2,0,0.04
2022-04-06,33,6,0,0.18
2022-04-08,45,7,0,0.16
2022-04-10,37,0,0,0.0
2022-04-12,40,3,0,0.08
2022-04-14,32,2,0,0.06
2022-04-16,29,2,0,0.07
2022-04-18,45,2,5,0.04
2022-04-20,31,2,0,0.06
2022-04-22,54,8,0,0.15
2022-04-24,37,4,0,0.11
2022-04-26,62,2,0,0.03
2022-04-28,39,4,0,0.1
2022-04-30,36,4,0,0.11
2022-05-02,30,3,4,0.1
2022-05-04,49,6,0,0.12
2022-05-06,38,5,0,0.13
2022-05-08,40,15,0,0.38
2022-05-10,31,1,0,0.03
2022-05-12,46,4,0,0.09
2022-05-14,33,3,0,0.09
2022-05-16,30,1,0,0.03
2022-05-18,58,11,0,0.19
2022-05-20,32,2,1,0.06
2022-05-22,40,0,0,0.0
2022-05-24,31,2,0,0.06
2022-05-26,37,4,0,0.11
2022-06-02,37,0,2,0.0
2022-06-04,34,3,1,0.09
2022-06-06,39,0,0,0.0
2022-06-08,36,3,0,0.08
2022-06-10,47,16,0,0.34
2022-06-12,44,8,2,0.18
2022-06-14,47,7,0,0.15
2022-06-16,42,2,0,0.05
2022-06-18,33,3,1,0.09
2022-06-20,28,1,0,0.04
2022-06-22,49,2,1,0.04
2022-06-24,43,2,0,0.05
2022-06-26,41,7,0,0.17
2022-06-28,48,1,0,0.02
2022-06-30,34,5,0,0.15
2022-07-02,36,5,0,0.14
2022-07-04,33,4,1,0.12
2022-07-06,39,3,2,0.08
2022-07-08,40,3,0,0.08
2022-07-10,36,5,0,0.14
2022-07-12,30,1,3,0.03
2022-07-14,25,4,5,0.16
2022-07-16,36,5,0,0.14
2022-07-18,36,4,0,0.11
2022-07-20,42,5,0,0.12
2022-07-22,47,2,5,0.04
2022-07-24,59,0,0,0.0
2022-07-26,41,14,0,0.34
2022-07-28,29,0,2,0.0
2022-07-30,45,5,0,0.11
2022-08-02,43,5,0,0.12
2022-08-04,46,4,2,0.09
2022-08-06,37,6,0,0.16
2022-08-08,48,9,0,0.19
2022-08-10,31,1,0,0.03
2022-08-12,33,3,3,0.09
2022-08-14,37,5,1,0.14
2022-08-16,34,0,0,0.0
2022-08-18,59,4,0,0.07
2022-08-20,40,8,0,0.2
2022-08-22,36,1,0,0.03
2022-08-24,47,7,0,0.15
2022-08-26,46,1,0,0.02
2022-08-28,46,7,0,0.15
2022-08-30,45,4,0,0.09
2022-09-02,57,10,0,0.18
2022-09-04,35,1,3,0.03
2022-09-06,38,2,0,0.05
2022-09-08,40,5,0,0.12
2022-09-10,49,2,0,0.04
2022-09-12,31,2,0,0.06
2022-09-14,34,4,0,0.12
2022-09-16,35,5,0,0.14
2022-09-18,45,1,0,0.02
2022-09-20,41,3,0,0.07
2022-09-22,38,4,0,0.11
2022-09-24,35,1,0,0.03
2022-09-26,37,1,1,0.03
2022-09-28,33,1,0,0.03
2022-09-30,42,1,3,0.02
2022-10-02,45,7,0,0.16
2022-10-04,41,1,0,0.02
2022-10-06,50,4,0,0.08
2022-10-08,36,0,0,0.0
2022-10-10,28,0,5,0.0
