date,total,filter,remove,ratio
2021-12-26,23,14,0,0.61
2021-12-28,16,6,0,0.38
2021-12-30,21,11,0,0.52
2022-01-02,18,4,0,0.22
2022-01-08,18,4,5,0.22
2022-01-10,19,9,0,0.47
2022-01-12,21,5,0,0.24
2022-01-14,16,7,3,0.44
2022-01-16,19,7,0,0.37
2022-01-18,29,5,0,0.17
2022-01-20,22,11,0,0.5
2022-01-22,21,9,0,0.43
2022-01-24,24,7,0,0.29
2022-01-26,24,13,0,0.54
2022-01-28,19,7,0,0.37
2022-01-30,19,11,0,0.58
2022-02-02,23,12,1,0.52
2022-02-04,27,11,0,0.41
2022-02-06,26,12,0,0.46
2022-02-08,21,11,0,0.52
2022-02-10,35,24,0,0.69
2022-02-12,25,7,4,0.28
2022-02-14,18,5,0,0.28
2022-02-16,27,12,0,0.44
2022-02-18,25,6,0,0.24
2022-02-20,29,10,0,0.34
2022-02-22,20,10,0,0.5
2022-02-26,17,4,0,0.24
2022-02-28,31,10,0,0.32
2022-03-02,23,11,0,0.48
2022-03-04,17,4,0,0.24
2022-03-06,18,7,0,0.39
2022-03-08,22,8,0,0.36
2022-03-10,31,16,0,0.52
2022-03-12,23,5,4,0.22
2022-03-14,35,13,0,0.37
2022-03-16,19,3,1,0.16
2022-03-18,24,11,0,0.46
2022-03-20,25,8,0,0.32
2022-03-22,18,10,0,0.56
2022-03-24,18,9,0,0.5
2022-03-26,21,8,1,0.38
2022-03-28,23,7,0,0.3
2022-03-30,20,6,0,0.3
2022-04-02,23,4,0,0.17
2022-04-04,44,6,4,0.14
2022-04-06,31,11,2,0.35
2022-04-08,45,12,0,0.27
2022-04-10,37,8,0,0.22
2022-04-12,40,12,0,0.3
2022-04-14,32,11,0,0.34
2022-04-16,29,17,0,0.59
2022-04-18,50,10,0,0.2
2022-04-20,31,24,0,0.77
2022-04-22,54,28,0,0.52
2022-04-24,37,14,0,0.38
2022-04-26,62,14,0,0.23
2022-04-28,39,20,0,0.51
2022-04-30,36,27,0,0.75
2022-05-02,34,5,0,0.15
2022-05-04,49,22,0,0.45
2022-05-06,38,13,0,0.34
2022-05-08,40,22,0,0.55
2022-05-10,28,11,3,0.39
2022-05-12,46,25,0,0.54
2022-05-14,33,14,0,0.42
2022-05-16,30,15,0,0.5
2022-05-18,58,23,0,0.4
2022-05-20,33,17,0,0.52
2022-05-22,40,21,0,0.52
2022-05-24,31,9,0,0.29
2022-05-26,37,11,0,0.3
2022-06-02,39,25,0,0.64
2022-06-04,33,13,2,0.39
2022-06-06,39,18,0,0.46
2022-06-08,36,8,0,0.22
2022-06-10,47,21,0,0.45
2022-06-12,41,22,5,0.54
2022-06-14,47,17,0,0.36
2022-06-16,41,20,1,0.49
2022-06-18,34,18,0,0.53
2022-06-20,28,11,0,0.39
2022-06-22,50,19,0,0.38
2022-06-24,43,12,0,0.28
2022-06-26,41,15,0,0.37
2022-06-28,48,19,0,0.4
2022-06-30,34,11,0,0.32
2022-07-02,33,22,3,0.67
2022-07-04,34,11,0,0.32
2022-07-06,41,19,0,0.46
2022-07-08,39,7,1,0.18
2022-07-10,31,10,5,0.32
2022-07-12,33,19,0,0.58
2022-07-14,30,15,0,0.5
2022-07-16,36,12,0,0.33
2022-07-18,34,18,2,0.53
2022-07-20,42,19,0,0.45
2022-07-22,52,10,0,0.19
2022-07-24,59,29,0,0.49
2022-07-26,41,22,0,0.54
2022-07-28,29,11,2,0.38
2022-07-30,45,21,0,0.47
2022-08-02,43,23,0,0.53
2022-08-04,48,18,0,0.38
2022-08-06,37,12,0,0.32
2022-08-08,48,26,0,0.54
2022-08-10,31,14,0,0.45
2022-08-12,36,10,0,0.28
2022-08-14,38,19,0,0.5
2022-08-16,34,18,0,0.53
2022-08-18,59,29,0,0.49
2022-08-20,40,15,0,0.38
2022-08-22,36,19,0,0.53
2022-08-24,47,30,0,0.64
2022-08-26,46,18,0,0.39
2022-08-28,46,22,0,0.48
2022-08-30,44,23,1,0.52
2022-09-02,54,21,3,0.39
2022-09-04,37,19,1,0.51
2022-09-06,35,19,3,0.54
2022-09-08,40,8,0,0.2
2022-09-10,49,17,0,0.35
2022-09-12,31,15,0,0.48
2022-09-14,34,19,0,0.56
2022-09-16,35,21,0,0.6
2022-09-18,40,11,5,0.28
2022-09-20,41,13,0,0.32
2022-09-22,38,19,0,0.5
2022-09-24,33,23,2,0.7
2022-09-26,38,13,0,0.34
2022-09-28,33,8,0,0.24
2022-09-30,45,20,0,0.44
2022-10-02,45,11,0,0.24
2022-10-04,41,19,0,0.46
2022-10-06,50,13,0,0.26
2022-10-08,36,23,0,0.64
2022-10-10,28,8,5,0.29
