date,total,filter,remove,ratio
2021-12-26,18,9,5,0.5
2021-12-28,16,8,0,0.5
2021-12-30,21,12,0,0.57
2022-01-02,14,9,4,0.64
2022-01-08,20,13,3,0.65
2022-01-10,19,10,0,0.53
2022-01-12,21,4,0,0.19
2022-01-14,19,9,0,0.47
2022-01-16,19,7,0,0.37
2022-01-18,29,16,0,0.55
2022-01-20,22,9,0,0.41
2022-01-22,21,12,0,0.57
2022-01-24,20,8,4,0.4
2022-01-26,24,9,0,0.38
2022-01-28,19,10,0,0.53
2022-01-30,19,6,0,0.32
2022-02-02,24,7,0,0.29
2022-02-04,27,16,0,0.59
2022-02-06,26,12,0,0.46
2022-02-08,21,6,0,0.29
2022-02-10,35,14,0,0.4
2022-02-12,28,15,1,0.54
2022-02-14,18,7,0,0.39
2022-02-16,27,11,0,0.41
2022-02-18,20,10,5,0.5
2022-02-20,29,15,0,0.52
2022-02-22,20,9,0,0.45
2022-02-26,17,2,0,0.12
2022-02-28,31,11,0,0.35
2022-03-02,23,12,0,0.52
2022-03-04,17,4,0,0.24
2022-03-06,14,7,4,0.5
2022-03-08,22,9,0,0.41
2022-03-10,31,18,0,0.58
2022-03-12,27,10,0,0.37
2022-03-14,35,15,0,0.43
2022-03-16,20,13,0,0.65
2022-03-18,21,9,3,0.43
2022-03-20,25,10,0,0.4
2022-03-22,18,5,0,0.28
2022-03-24,15,8,3,0.53
2022-03-26,22,5,0,0.23
2022-03-28,23,14,0,0.61
2022-03-30,20,12,0,0.6
2022-04-02,23,10,0,0.43
2022-04-04,48,30,0,0.62
2022-04-06,33,16,0,0.48
2022-04-08,43,19,2,0.44
2022-04-10,37,10,0,0.27
2022-04-12,38,13,2,0.34
2022-04-14,32,13,0,0.41
2022-04-16,29,11,0,0.38
2022-04-18,50,15,0,0.3
2022-04-20,31,18,0,0.58
2022-04-22,54,28,0,0.52
2022-04-24,35,19,2,0.54
2022-04-26,62,26,0,0.42
2022-04-28,34,15,5,0.44
2022-04-30,36,20,0,0.56
2022-05-02,34,7,0,0.21
2022-05-04,49,26,0,0.53
2022-05-06,38,21,0,0.55
2022-05-08,39,16,1,0.41
2022-05-10,31,19,0,0.61
2022-05-12,46,27,0,0.59
2022-05-14,32,13,1,0.41
2022-05-16,30,14,0,0.47
2022-05-18,58,29,0,0.5
2022-05-20,33,15,0,0.45
2022-05-22,40,16,0,0.4
2022-05-24,31,20,0,0.65
2022-05-26,37,9,0,0.24
2022-06-02,39,17,0,0.44
2022-06-04,35,23,0,0.66
2022-06-06,39,14,0,0.36
2022-06-08,36,18,0,0.5
2022-06-10,43,23,4,0.53
2022-06-12,46,18,0,0.39
2022-06-14,47,31,0,0.66
2022-06-16,42,22,0,0.52
2022-06-18,34,11,0,0.32
2022-06-20,28,11,0,0.39
2022-06-22,50,20,0,0.4
2022-06-24,43,24,0,0.56
2022-06-26,41,17,0,0.41
2022-06-28,48,18,0,0.38
2022-06-30,34,14,0,0.41
2022-07-02,36,14,0,0.39
2022-07-04,34,13,0,0.38
2022-07-06,41,22,0,0.54
2022-07-08,40,8,0,0.2
2022-07-10,36,10,0,0.28
2022-07-12,33,15,0,0.45
2022-07-14,30,20,0,0.67
2022-07-16,36,13,0,0.36
2022-07-18,36,19,0,0.53
2022-07-20,42,17,0,0.4
2022-07-22,52,14,0,0.27
2022-07-24,59,30,0,0.51
2022-07-26,41,8,0,0.2
2022-07-28,31,18,0,0.58
2022-07-30,45,26,0,0.58
2022-08-02,43,19,0,0.44
2022-08-04,48,26,0,0.54
2022-08-06,36,22,1,0.61
2022-08-08,48,29,0,0.6
2022-08-10,31,13,0,0.42
2022-08-12,34,15,2,0.44
2022-08-14,38,21,0,0.55
2022-08-16,34,10,0,0.29
2022-08-18,59,22,0,0.37
2022-08-20,40,15,0,0.38
2022-08-22,36,22,0,0.61
2022-08-24,47,30,0,0.64
2022-08-26,46,27,0,0.59
2022-08-28,46,21,0,0.46
2022-08-30,45,28,0,0.62
2022-09-02,55,30,2,0.55
2022-09-04,38,17,0,0.45
2022-09-06,38,19,0,0.5
2022-09-08,40,20,0,0.5
2022-09-10,49,19,0,0.39
2022-09-12,31,13,0,0.42
2022-09-14,34,21,0,0.62
2022-09-16,35,19,0,0.54
2022-09-18,45,15,0,0.33
2022-09-20,41,15,0,0.37
2022-09-22,38,18,0,0.47
2022-09-24,34,12,1,0.35
2022-09-26,38,13,0,0.34
2022-09-28,33,14,0,0.42
2022-09-30,43,24,2,0.56
2022-10-02,45,11,0,0.24
2022-10-04,41,18,0,0.44
2022-10-06,50,23,0,0.46
2022-10-08,36,22,0,0.61
2022-10-10,33,16,0,0.48
