date,total,filter,remove,ratio
2021-12-26,23,8,0,0.35
2021-12-28,14,1,2,0.07
2021-12-30,21,4,0,0.19
2022-01-02,18,2,0,0.11
2022-01-08,23,5,0,0.22
2022-01-10,19,2,0,0.11
2022-01-12,21,1,0,0.05
2022-01-14,19,7,0,0.37
2022-01-16,19,0,0,0.0
2022-01-18,28,5,1,0.18
2022-01-20,22,5,0,0.23
2022-01-22,19,2,2,0.11
2022-01-24,23,5,1,0.22
2022-01-26,24,4,0,0.17
2022-01-28,19,5,0,0.26
2022-01-30,19,4,0,0.21
2022-02-02,24,6,0,0.25
2022-02-04,27,1,0,0.04
2022-02-06,26,6,0,0.23
2022-02-08,21,5,0,0.24
2022-02-10,35,6,0,0.17
2022-02-12,29,8,0,0.28
2022-02-14,15,0,3,0.0
2022-02-16,26,3,1,0.12
2022-02-18,25,6,0,0.24
2022-02-20,27,5,2,0.19
2022-02-22,20,3,0,0.15
2022-02-26,17,2,0,0.12
2022-02-28,31,2,0,0.06
2022-03-02,23,3,0,0.13
2022-03-04,17,4,0,0.24
2022-03-06,18,3,0,0.17
2022-03-08,22,4,0,0.18
2022-03-10,27,6,4,0.22
2022-03-12,27,8,0,0.3
2022-03-14,35,4,0,0.11
2022-03-16,20,6,0,0.3
2022-03-18,24,6,0,0.25
2022-03-20,25,3,0,0.12
2022-03-22,13,3,5,0.23
2022-03-24,18,1,0,0.06
2022-03-26,22,5,0,0.23
2022-03-28,23,2,0,0.09
2022-03-30,18,3,2,0.17
2022-04-02,23,0,0,0.0
2022-04-04,46,4,2,0.09
2022-04-06,32,4,1,0.12
2022-04-08,45,4,0,0.09
2022-04-10,37,11,0,0.3
2022-04-12,39,4,1,0.1
2022-04-14,32,7,0,0.22
2022-04-16,28,3,1,0.11
2022-04-18,50,15,0,0.3
2022-04-20,31,4,0,0.13
2022-04-22,54,9,0,0.17
2022-04-24,37,12,0,0.32
2022-04-26,60,9,2,0.15
2022-04-28,39,7,0,0.18
2022-04-30,35,6,1,0.17
2022-05-02,34,10,0,0.29
2022-05-04,49,14,0,0.29
2022-05-06,38,1,0,0.03
2022-05-08,40,16,0,0.4
2022-05-10,31,4,0,0.13
2022-05-12,46,13,0,0.28
2022-05-14,31,8,2,0.26
2022-05-16,30,4,0,0.13
2022-05-18,58,16,0,0.28
2022-05-20,33,6,0,0.18
2022-05-22,40,7,0,0.18
2022-05-24,31,8,0,0.26
2022-05-26,37,5,0,0.14
2022-06-02,39,10,0,0.26
2022-06-04,35,4,0,0.11
2022-06-06,39,12,0,0.31
2022-06-08,36,6,0,0.17
2022-06-10,45,7,2,0.16
2022-06-12,46,9,0,0.2
2022-06-14,47,7,0,0.15
2022-06-16,37,10,5,0.27
2022-06-18,34,9,0,0.26
2022-06-20,25,1,3,0.04
2022-06-22,50,5,0,0.1
2022-06-24,43,4,0,0.09
2022-06-26,41,5,0,0.12
2022-06-28,46,9,2,0.2
2022-06-30,34,2,0,0.06
2022-07-02,36,5,0,0.14
2022-07-04,34,5,0,0.15
2022-07-06,41,6,0,0.15
2022-07-08,40,7,0,0.18
2022-07-10,36,1,0,0.03
2022-07-12,33,10,0,0.3
2022-07-14,30,4,0,0.13
2022-07-16,36,5,0,0.14
2022-07-18,36,9,0,0.25
2022-07-20,42,4,0,0.1
2022-07-22,52,7,0,0.13
2022-07-24,59,8,0,0.14
2022-07-26,41,13,0,0.32
2022-07-28,30,7,1,0.23
2022-07-30,45,4,0,0.09
2022-08-02,43,6,0,0.14
2022-08-04,48,9,0,0.19
2022-08-06,37,11,0,0.3
2022-08-08,48,4,0,0.08
2022-08-10,31,7,0,0.23
2022-08-12,34,6,2,0.18
2022-08-14,38,4,0,0.11
2022-08-16,34,4,0,0.12
2022-08-18,59,18,0,0.31
2022-08-20,40,5,0,0.12
2022-08-22,35,3,1,0.09
2022-08-24,47,7,0,0.15
2022-08-26,46,9,0,0.2
2022-08-28,46,11,0,0.24
2022-08-30,42,14,3,0.33
2022-09-02,57,15,0,0.26
2022-09-04,38,13,0,0.34
2022-09-06,38,5,0,0.13
2022-09-08,40,1,0,0.02
2022-09-10,49,12,0,0.24
2022-09-12,31,4,0,0.13
2022-09-14,34,9,0,0.26
2022-09-16,35,7,0,0.2
2022-09-18,45,6,0,0.13
2022-09-20,41,7,0,0.17
2022-09-22,35,6,3,0.17
2022-09-24,35,5,0,0.14
2022-09-26,38,4,0,0.11
2022-09-28,33,4,0,0.12
2022-09-30,45,13,0,0.29
2022-10-02,45,7,0,0.16
2022-10-04,38,11,3,0.29
2022-10-06,49,11,1,0.22
2022-10-08,36,12,0,0.33
2022-10-10,33,3,0,0.09
