date,total,filter,remove,ratio
2021-12-26,23,10,0,0.43
2021-12-28,16,8,0,0.5
2021-12-30,21,5,0,0.24
2022-01-02,18,4,0,0.22
2022-01-08,23,7,0,0.3
2022-01-10,19,7,0,0.37
2022-01-12,21,5,0,0.24
2022-01-14,19,8,0,0.42
2022-01-16,18,6,1,0.33
2022-01-18,29,13,0,0.45
2022-01-20,22,7,0,0.32
2022-01-22,18,5,3,0.28
2022-01-24,24,13,0,0.54
2022-01-26,24,11,0,0.46
2022-01-28,19,7,0,0.37
2022-01-30,19,8,0,0.42
2022-02-02,24,5,0,0.21
2022-02-04,21,10,6,0.48
2022-02-06,26,4,0,0.15
2022-02-08,21,4,0,0.19
2022-02-10,35,16,0,0.46
2022-02-12,29,12,0,0.41
2022-02-14,18,7,0,0.39
2022-02-16,25,6,2,0.24
2022-02-18,23,7,2,0.3
2022-02-20,29,5,0,0.17
2022-02-22,20,6,0,0.3
2022-02-26,17,8,0,0.47
2022-02-28,31,8,0,0.26
2022-03-02,23,11,0,0.48
2022-03-04,17,8,0,0.47
2022-03-06,18,7,0,0.39
2022-03-08,22,10,0,0.45
2022-03-10,31,18,0,0.58
2022-03-12,27,5,0,0.19
2022-03-14,35,13,0,0.37
2022-03-16,19,10,1,0.53
2022-03-18,24,7,0,0.29
2022-03-20,22,7,3,0.32
2022-03-22,18,8,0,0.44
2022-03-24,18,7,0,0.39
2022-03-26,22,10,0,0.45
2022-03-28,23,10,0,0.43
2022-03-30,20,4,0,0.2
2022-04-02,23,5,0,0.22
2022-04-04,48,10,0,0.21
2022-04-06,33,6,0,0.18
2022-04-08,45,24,0,0.53
2022-04-10,35,16,2,0.46
2022-04-12,40,14,0,0.35
2022-04-14,32,9,0,0.28
2022-04-16,29,14,0,0.48
2022-04-18,50,17,0,0.34
2022-04-20,31,7,0,0.23
2022-04-22,54,12,0,0.22
2022-04-24,37,17,0,0.46
2022-04-26,60,28,2,0.47
2022-04-28,39,10,0,0.26
2022-04-30,36,17,0,0.47
2022-05-02,34,8,0,0.24
2022-05-04,49,26,0,0.53
2022-05-06,38,15,0,0.39
2022-05-08,40,24,0,0.6
2022-05-10,31,17,0,0.55
2022-05-12,46,25,0,0.54
2022-05-14,29,20,4,0.69
2022-05-16,30,11,0,0.37
2022-05-18,58,11,0,0.19
2022-05-20,33,8,0,0.24
2022-05-22,40,22,0,0.55
2022-05-24,31,9,0,0.29
2022-05-26,37,17,0,0.46
2022-06-02,39,12,0,0.31
2022-06-04,35,16,0,0.46
2022-06-06,39,20,0,0.51
2022-06-08,36,17,0,0.47
2022-06-10,45,23,2,0.51
2022-06-12,46,12,0,0.26
2022-06-14,47,32,0,0.68
2022-06-16,42,22,0,0.52
2022-06-18,33,18,1,0.55
2022-06-20,28,15,0,0.54
2022-06-22,47,10,3,0.21
2022-06-24,43,23,0,0.53
2022-06-26,41,13,0,0.32
2022-06-28,48,18,0,0.38
2022-06-30,34,8,0,0.24
2022-07-02,36,17,0,0.47
2022-07-04,34,15,0,0.44
2022-07-06,41,16,0,0.39
2022-07-08,40,10,0,0.25
2022-07-10,36,20,0,0.56
2022-07-12,33,11,0,0.33
2022-07-14,30,17,0,0.57
2022-07-16,36,14,0,0.39
2022-07-18,36,13,0,0.36
2022-07-20,42,18,0,0.43
2022-07-22,52,29,0,0.56
2022-07-24,59,24,0,0.41
2022-07-26,41,16,0,0.39
2022-07-28,29,15,2,0.52
2022-07-30,41,14,4,0.34
2022-08-02,43,13,0,0.3
2022-08-04,46,13,2,0.28
2022-08-06,37,17,0,0.46
2022-08-08,48,16,0,0.33
2022-08-10,31,8,0,0.26
2022-08-12,36,11,0,0.31
2022-08-14,38,21,0,0.55
2022-08-16,32,16,2,0.5
2022-08-18,59,32,0,0.54
2022-08-20,40,21,0,0.52
2022-08-22,36,7,0,0.19
2022-08-24,47,24,0,0.51
2022-08-26,46,12,0,0.26
2022-08-28,46,21,0,0.46
2022-08-30,45,17,0,0.38
2022-09-02,57,17,0,0.3
2022-09-04,36,15,2,0.42
2022-09-06,38,16,0,0.42
2022-09-08,40,16,0,0.4
2022-09-10,49,16,0,0.33
2022-09-12,31,14,0,0.45
2022-09-14,34,11,0,0.32
2022-09-16,35,7,0,0.2
2022-09-18,45,21,0,0.47
2022-09-20,41,31,0,0.76
2022-09-22,38,14,0,0.37
2022-09-24,33,20,2,0.61
2022-09-26,38,17,0,0.45
2022-09-28,33,8,0,0.24
2022-09-30,45,21,0,0.47
2022-10-02,42,13,3,0.31
2022-10-04,38,19,3,0.5
2022-10-06,50,15,0,0.3
2022-10-08,36,12,0,0.33
2022-10-10,29,15,4,0.52
