date,total,filter,remove,ratio
2021-12-26,23,8,0,0.35
2021-12-28,16,0,0,0.0
2021-12-30,21,3,0,0.14
2022-01-02,18,4,0,0.22
2022-01-08,23,0,0,0.0
2022-01-10,19,2,0,0.11
2022-01-12,21,6,0,0.29
2022-01-14,19,2,0,0.11
2022-01-16,19,3,0,0.16
2022-01-18,29,6,0,0.21
2022-01-20,22,6,0,0.27
2022-01-22,21,4,0,0.19
2022-01-24,24,5,0,0.21
2022-01-26,23,1,1,0.04
2022-01-28,17,5,2,0.29
2022-01-30,19,4,0,0.21
2022-02-02,24,3,0,0.12
2022-02-04,27,4,0,0.15
2022-02-06,26,5,0,0.19
2022-02-08,21,1,0,0.05
2022-02-10,35,12,0,0.34
2022-02-12,26,1,3,0.04
2022-02-14,13,5,5,0.38
2022-02-16,27,6,0,0.22
2022-02-18,25,2,0,0.08
2022-02-20,29,8,0,0.28
2022-02-22,19,4,1,0.21
2022-02-26,17,1,0,0.06
2022-02-28,31,8,0,0.26
2022-03-02,21,5,2,0.24
2022-03-04,17,0,0,0.0
2022-03-06,18,2,0,0.11
2022-03-08,22,6,0,0.27
2022-03-10,31,9,0,0.29
2022-03-12,25,1,2,0.04
2022-03-14,35,5,0,0.14
2022-03-16,16,4,4,0.25
2022-03-18,24,3,0,0.12
2022-03-20,25,1,0,0.04
2022-03-22,18,3,0,0.17
2022-03-24,18,3,0,0.17
2022-03-26,21,3,1,0.14
2022-03-28,23,2,0,0.09
2022-03-30,20,2,0,0.1
2022-04-02,23,3,0,0.13
2022-04-04,48,12,0,0.25
2022-04-06,33,3,0,0.09
2022-04-08,45,3,0,0.07
2022-04-10,35,1,2,0.03
2022-04-12,40,10,0,0.25
2022-04-14,32,10,0,0.31
2022-04-16,29,9,0,0.31
2022-04-18,50,18,0,0.36
2022-04-20,31,7,0,0.23
2022-04-22,54,14,0,0.26
2022-04-24,37,5,0,0.14
2022-04-26,62,19,0,0.31
2022-04-28,39,3,0,0.08
2022-04-30,36,11,0,0.31
2022-05-02,34,1,0,0.03
2022-05-04,48,16,1,0.33
2022-05-06,38,4,0,0.11
2022-05-08,40,6,0,0.15
2022-05-10,31,10,0,0.32
2022-05-12,41,9,5,0.22
2022-05-14,33,10,0,0.3
2022-05-16,30,3,0,0.1
2022-05-18,58,14,0,0.24
2022-05-20,33,10,0,0.3
2022-05-22,40,2,0,0.05
2022-05-24,31,6,0,0.19
2022-05-26,37,10,0,0.27
2022-06-02,39,9,0,0.23
2022-06-04,30,11,5,0.37
2022-06-06,39,3,0,0.08
2022-06-08,36,12,0,0.33
2022-06-10,43,4,4,0.09
2022-06-12,46,13,0,0.28
2022-06-14,47,7,0,0.15
2022-06-16,42,3,0,0.07
2022-06-18,34,3,0,0.09
2022-06-20,28,2,0,0.07
2022-06-22,50,8,0,0.16
2022-06-24,42,1,1,0.02
2022-06-26,41,4,0,0.1
2022-06-28,48,10,0,0.21
2022-06-30,34,2,0,0.06
2022-07-02,36,7,0,0.19
2022-07-04,34,3,0,0.09
2022-07-06,41,4,0,0.1
2022-07-08,35,10,5,0.29
2022-07-10,33,5,3,0.15
2022-07-12,33,5,0,0.15
2022-07-14,30,11,0,0.37
2022-07-16,36,10,0,0.28
2022-07-18,36,10,0,0.28
2022-07-20,42,7,0,0.17
2022-07-22,52,6,0,0.12
2022-07-24,59,15,0,0.25
2022-07-26,40,3,1,0.08
2022-07-28,31,8,0,0.26
2022-07-30,45,5,0,0.11
2022-08-02,42,12,1,0.29
2022-08-04,48,14,0,0.29
2022-08-06,37,10,0,0.27
2022-08-08,48,2,0,0.04
2022-08-10,31,11,0,0.35
2022-08-12,36,15,0,0.42
2022-08-14,38,14,0,0.37
2022-08-16,31,8,3,0.26
2022-08-18,59,11,0,0.19
2022-08-20,40,9,0,0.22
2022-08-22,36,6,0,0.17
2022-08-24,47,4,0,0.09
2022-08-26,46,13,0,0.28
2022-08-28,46,10,0,0.22
2022-08-30,45,3,0,0.07
2022-09-02,57,9,0,0.16
2022-09-04,38,11,0,0.29
2022-09-06,38,7,0,0.18
2022-09-08,40,11,0,0.28
2022-09-10,49,13,0,0.27
2022-09-12,31,4,0,0.13
2022-09-14,34,9,0,0.26
2022-09-16,35,10,0,0.29
2022-09-18,45,5,0,0.11
2022-09-20,41,10,0,0.24
2022-09-22,38,2,0,0.05
2022-09-24,35,7,0,0.2
2022-09-26,38,8,0,0.21
2022-09-28,33,6,0,0.18
2022-09-30,44,8,1,0.18
2022-10-02,45,1,0,0.02
2022-10-04,39,9,2,0.23
2022-10-06,50,16,0,0.32
2022-10-08,34,5,2,0.15
2022-10-10,33,6,0,0.18
