date,total,filter,remove,ratio
2021-12-26,23,7,0,0.3
2021-12-28,16,12,0,0.75
2021-12-30,18,6,3,0.33
2022-01-02,18,9,0,0.5
2022-01-08,23,11,0,0.48
2022-01-10,19,8,0,0.42
2022-01-12,21,11,0,0.52
2022-01-14,18,13,1,0.72
2022-01-16,19,6,0,0.32
2022-01-18,29,15,0,0.52
2022-01-20,22,7,0,0.32
2022-01-22,21,6,0,0.29
2022-01-24,23,16,1,0.7
2022-01-26,24,16,0,0.67
2022-01-28,15,9,4,0.6
2022-01-30,19,15,0,0.79
2022-02-02,20,12,4,0.6
2022-02-04,27,8,0,0.3
2022-02-06,26,15,0,0.58
2022-02-08,21,7,0,0.33
2022-02-10,35,11,0,0.31
2022-02-12,25,11,4,0.44
2022-02-14,18,11,0,0.61
2022-02-16,23,12,4,0.52
2022-02-18,25,12,0,0.48
2022-02-20,29,20,0,0.69
2022-02-22,20,5,0,0.25
2022-02-26,17,4,0,0.24
2022-02-28,31,10,0,0.32
2022-03-02,23,9,0,0.39
2022-03-04,17,8,0,0.47
2022-03-06,18,7,0,0.39
2022-03-08,22,11,0,0.5
2022-03-10,31,18,0,0.58
2022-03-12,27,10,0,0.37
2022-03-14,35,14,0,0.4
2022-03-16,20,6,0,0.3
2022-03-18,24,8,0,0.33
2022-03-20,25,12,0,0.48
2022-03-22,18,5,0,0.28
2022-03-24,18,3,0,0.17
2022-03-26,22,10,0,0.45
2022-03-28,21,5,2,0.24
2022-03-30,20,7,0,0.35
2022-04-02,23,9,0,0.39
2022-04-04,48,10,0,0.21
2022-04-06,33,13,0,0.39
2022-04-08,43,24,2,0.56
2022-04-10,37,16,0,0.43
2022-04-12,40,13,0,0.32
2022-04-14,32,12,0,0.38
2022-04-16,29,7,0,0.24
2022-04-18,50,27,0,0.54
2022-04-20,31,9,0,0.29
2022-04-22,54,39,0,0.72
2022-04-24,37,8,0,0.22
2022-04-26,62,22,0,0.35
2022-04-28,39,14,0,0.36
2022-04-30,36,16,0,0.44
2022-05-02,34,19,0,0.56
2022-05-04,49,21,0,0.43
2022-05-06,38,14,0,0.37
2022-05-08,40,17,0,0.42
2022-05-10,31,9,0,0.29
2022-05-12,46,16,0,0.35
2022-05-14,33,24,0,0.73
2022-05-16,29,15,1,0.52
2022-05-18,58,32,0,0.55
2022-05-20,33,14,0,0.42
2022-05-22,40,23,0,0.57
2022-05-24,31,14,0,0.45
2022-05-26,37,11,0,0.3
2022-06-02,39,15,0,0.38
2022-06-04,35,17,0,0.49
2022-06-06,39,22,0,0.56
2022-06-08,35,6,1,0.17
2022-06-10,47,17,0,0.36
2022-06-12,46,21,0,0.46
2022-06-14,47,12,0,0.26
2022-06-16,42,18,0,0.43
2022-06-18,34,10,0,0.29
2022-06-20,28,11,0,0.39
2022-06-22,50,37,0,0.74
2022-06-24,43,20,0,0.47
2022-06-26,41,15,0,0.37
2022-06-28,48,17,0,0.35
2022-06-30,33,15,1,0.45
2022-07-02,36,12,0,0.33
2022-07-04,34,19,0,0.56
2022-07-06,41,20,0,0.49
2022-07-08,40,16,0,0.4
2022-07-10,36,6,0,0.17
2022-07-12,33,14,0,0.42
2022-07-14,30,13,0,0.43
2022-07-16,36,10,0,0.28
2022-07-18,36,12,0,0.33
2022-07-20,42,18,0,0.43
2022-07-22,52,9,0,0.17
2022-07-24,59,20,0,0.34
2022-07-26,41,16,0,0.39
2022-07-28,31,15,0,0.48
2022-07-30,45,15,0,0.33
2022-08-02,42,10,1,0.24
2022-08-04,48,27,0,0.56
2022-08-06,37,25,0,0.68
2022-08-08,48,8,0,0.17
2022-08-10,31,8,0,0.26
2022-08-12,36,9,0,0.25
2022-08-14,38,12,0,0.32
2022-08-16,34,11,0,0.32
2022-08-18,59,20,0,0.34
2022-08-20,40,22,0,0.55
2022-08-22,36,12,0,0.33
2022-08-24,47,38,0,0.81
2022-08-26,46,23,0,0.5
2022-08-28,46,24,0,0.52
2022-08-30,45,32,0,0.71
2022-09-02,57,14,0,0.25
2022-09-04,38,15,0,0.39
2022-09-06,36,10,2,0.28
2022-09-08,39,8,1,0.21
2022-09-10,49,9,0,0.18
2022-09-12,28,8,3,0.29
2022-09-14,34,18,0,0.53
2022-09-16,35,14,0,0.4
2022-09-18,45,9,0,0.2
2022-09-20,37,20,4,0.54
2022-09-22,38,21,0,0.55
2022-09-24,35,13,0,0.37
2022-09-26,38,17,0,0.45
2022-09-28,33,10,0,0.3
2022-09-30,42,10,3,0.24
2022-10-02,45,23,0,0.51
2022-10-04,41,24,0,0.59
2022-10-06,48,26,2,0.54
2022-10-08,36,16,0,0.44
2022-10-10,33,14,0,0.42
