date,total,filter,remove,ratio
2021-12-26,23,4,0,0.17
2021-12-28,14,3,2,0.21
2021-12-30,21,7,0,0.33
2022-01-02,16,2,2,0.12
2022-01-08,22,3,1,0.14
2022-01-10,19,1,0,0.05
2022-01-12,21,2,0,0.1
2022-01-14,19,2,0,0.11
2022-01-16,19,2,0,0.11
2022-01-18,29,1,0,0.03
2022-01-20,22,2,0,0.09
2022-01-22,21,1,0,0.05
2022-01-24,21,0,3,0.0
2022-01-26,24,2,0,0.08
2022-01-28,19,2,0,0.11
2022-01-30,19,2,0,0.11
2022-02-02,24,2,0,0.08
2022-02-04,27,11,0,0.41
2022-02-06,26,2,0,0.08
2022-02-08,21,3,0,0.14
2022-02-10,35,2,0,0.06
2022-02-12,29,4,0,0.14
2022-02-14,18,1,0,0.06
2022-02-16,27,1,0,0.04
2022-02-18,25,4,0,0.16
2022-02-20,29,10,0,0.34
2022-02-22,20,3,0,0.15
2022-02-26,17,1,0,0.06
2022-02-28,31,1,0,0.03
2022-03-02,22,1,1,0.05
2022-03-04,17,2,0,0.12
2022-03-06,14,1,4,0.07
2022-03-08,22,2,0,0.09
2022-03-10,26,5,5,0.19
2022-03-12,26,3,1,0.12
2022-03-14,35,8,0,0.23
2022-03-16,18,2,2,0.11
2022-03-18,24,4,0,0.17
2022-03-20,25,4,0,0.16
2022-03-22,18,2,0,0.11
2022-03-24,18,3,0,0.17
2022-03-26,22,4,0,0.18
2022-03-28,23,2,0,0.09
2022-03-30,20,1,0,0.05
2022-04-02,23,2,0,0.09
2022-04-04,46,13,2,0.28
2022-04-06,32,1,1,0.03
2022-04-08,45,7,0,0.16
2022-04-10,37,4,0,0.11
2022-04-12,40,8,0,0.2
2022-04-14,32,3,0,0.09
2022-04-16,29,12,0,0.41
2022-04-18,50,6,0,0.12
2022-04-20,31,4,0,0.13
2022-04-22,54,6,0,0.11
2022-04-24,37,4,0,0.11
2022-04-26,58,8,4,0.14
2022-04-28,39,8,0,0.21
2022-04-30,34,4,2,0.12
2022-05-02,34,1,0,0.03
2022-05-04,49,9,0,0.18
2022-05-06,38,6,0,0.16
2022-05-08,40,6,0,0.15
2022-05-10,31,6,0,0.19
2022-05-12,46,5,0,0.11
2022-05-14,33,5,0,0.15
2022-05-16,30,9,0,0.3
2022-05-18,58,8,0,0.14
2022-05-20,33,10,0,0.3
2022-05-22,40,8,0,0.2
2022-05-24,31,9,0,0.29
2022-05-26,37,5,0,0.14
2022-06-02,39,3,0,0.08
2022-06-04,35,1,0,0.03
2022-06-06,39,5,0,0.13
2022-06-08,36,4,0,0.11
2022-06-10,47,4,0,0.09
2022-06-12,46,6,0,0.13
2022-06-14,47,2,0,0.04
2022-06-16,40,3,2,0.08
2022-06-18,34,7,0,0.21
2022-06-20,28,3,0,0.11
2022-06-22,50,3,0,0.06
2022-06-24,43,4,0,0.09
2022-06-26,41,5,0,0.12
2022-06-28,48,8,0,0.17
2022-06-30,34,3,0,0.09
2022-07-02,36,5,0,0.14
2022-07-04,34,7,0,0.21
2022-07-06,41,4,0,0.1
2022-07-08,40,5,0,0.12
2022-07-10,36,3,0,0.08
2022-07-12,32,3,1,0.09
2022-07-14,30,5,0,0.17
2022-07-16,36,3,0,0.08
2022-07-18,36,7,0,0.19
2022-07-20,39,11,3,0.28
2022-07-22,52,15,0,0.29
2022-07-24,59,8,0,0.14
2022-07-26,41,5,0,0.12
2022-07-28,31,3,0,0.1
2022-07-30,43,6,2,0.14
2022-08-02,43,9,0,0.21
2022-08-04,47,3,1,0.06
2022-08-06,37,3,0,0.08
2022-08-08,48,6,0,0.12
2022-08-10,31,1,0,0.03
2022-08-12,36,5,0,0.14
2022-08-14,38,3,0,0.08
2022-08-16,34,3,0,0.09
2022-08-18,59,12,0,0.2
2022-08-20,40,6,0,0.15
2022-08-22,35,6,1,0.17
2022-08-24,47,5,0,0.11
2022-08-26,46,4,0,0.09
2022-08-28,46,4,0,0.09
2022-08-30,45,4,0,0.09
2022-09-02,56,13,1,0.23
2022-09-04,38,5,0,0.13
2022-09-06,35,1,3,0.03
2022-09-08,40,2,0,0.05
2022-09-10,49,4,0,0.08
2022-09-12,31,13,0,0.42
2022-09-14,31,2,3,0.06
2022-09-16,35,6,0,0.17
2022-09-18,45,3,0,0.07
2022-09-20,41,6,0,0.15
2022-09-22,33,1,5,0.03
2022-09-24,35,3,0,0.09
2022-09-26,38,6,0,0.16
2022-09-28,33,1,0,0.03
2022-09-30,45,15,0,0.33
2022-10-02,45,3,0,0.07
2022-10-04,40,13,1,0.32
2022-10-06,50,5,0,0.1
2022-10-08,36,3,0,0.08
2022-10-10,33,3,0,0.09
